Sequence name	Public_name	WBGeneID	DBD				
F44C8.4	nhr-103	WBGene00003693	ZF - NHR				
R11E3.5	nhr-104	WBGene00003694	ZF - NHR				
C06G3.1	nhr-105	WBGene00003695	ZF - NHR				
T01G6.4	nhr-106	WBGene00003696	ZF - NHR				
C33G8.11	nhr-107	WBGene00003697	ZF - NHR				
F35E8.12	nhr-108	WBGene00003698	ZF - NHR				
T12C9.5	nhr-109	WBGene00003699	ZF - NHR				
ZC410.1	nhr-11	WBGene00003610	ZF - NHR				
Y46H3D.5	nhr-110	WBGene00003700	ZF - NHR				
F44G3.9	nhr-111	WBGene00003701	ZF - NHR				
Y70C5C.6	nhr-112	WBGene00003702	ZF - NHR				
ZK1025.9	nhr-113	WBGene00003703	ZF - NHR				
Y45G5AM.1	nhr-114	WBGene00003704	ZF - NHR				
T27B7.4	nhr-115	WBGene00003705	ZF - NHR				
F09C6.9	nhr-116	WBGene00003706	ZF - NHR				
F16B4.12	nhr-117	WBGene00003707	ZF - NHR				
F13A2.8	nhr-118	WBGene00003708	ZF - NHR				
K12H6.1	nhr-119	WBGene00003709	ZF - NHR				
R04B5.4	nhr-12	WBGene00003611	ZF - NHR				
C25B8.6	nhr-120	WBGene00003710	ZF - NHR				
E02H9.8	nhr-121	WBGene00003711	ZF - NHR				
Y41D4B.9	nhr-122	WBGene00003712	ZF - NHR				
M02H5.7	nhr-123	WBGene00003713	ZF - NHR				
C17E7.8	nhr-124	WBGene00003714	ZF - NHR				
R02D1.1	nhr-125	WBGene00003715	ZF - NHR				
F44C8.10	nhr-126	WBGene00003716	ZF - NHR				
T13F3.3	nhr-127	WBGene00003717	ZF - NHR				
F44C8.5	nhr-128	WBGene00003718	ZF - NHR				
C50B6.14	nhr-129	WBGene00003719	ZF - NHR				
Y5H2B.2	nhr-13	WBGene00003612	ZF - NHR				
T01G6.8	nhr-130	WBGene00003720	ZF - NHR				
T01G6.2	nhr-131	WBGene00003721	ZF - NHR				
R11G11.1	nhr-132	WBGene00003722	ZF - NHR				
F44C8.8	nhr-133	WBGene00003723	ZF - NHR				
F44C8.2	nhr-134	WBGene00003724	ZF - NHR				
VC5.5	nhr-135	WBGene00003725	ZF - NHR				
C13C4.3	nhr-136	WBGene00003726	ZF - NHR				
C56E10.4	nhr-137	WBGene00003727	ZF - NHR				
C28D4.9	nhr-138	WBGene00003728	ZF - NHR				
C33G8.8	nhr-139	WBGene00016365	ZF - NHR				
T01B10.4	nhr-14	WBGene00003613	ZF - NHR				
C33G8.9	nhr-140	WBGene00016366	ZF - NHR				
F25E5.6	nhr-141	WBGene00017787	ZF - NHR				
F44E7.8	nhr-142	WBGene00018430	ZF - NHR				
F59E11.11	nhr-143	WBGene00019116	ZF - NHR				
Y39B6A.47	nhr-145	WBGene00012703	ZF - NHR				
Y41D4B.27	nhr-146	WBGene00045255	ZF - NHR				
C03G6.8	nhr-147	WBGene00015395	ZF - NHR				
C03G6.10	nhr-148	WBGene00015396	ZF - NHR				
C03G6.12	nhr-149	WBGene00015397	ZF - NHR				
F33E11.1	nhr-15	WBGene00003614	ZF - NHR				
C06B8.1	nhr-150	WBGene00007367	ZF - NHR				
C12D5.2	nhr-152	WBGene00015705	ZF - NHR				
C13C4.1	nhr-153	WBGene00007546	ZF - NHR				
C13C4.2	nhr-154	WBGene00007547	ZF - NHR				
C14C6.4	nhr-155	WBGene00015758	ZF - NHR				
C17E7.1	nhr-156	WBGene00015897	ZF - NHR				
C17E7.5	nhr-157	WBGene00015900	ZF - NHR				
C17E7.6	nhr-158	WBGene00015901	ZF - NHR				
C17E7.7	nhr-159	WBGene00015902	ZF - NHR				
T12C9.6	nhr-16	WBGene00003615	ZF - NHR				
C33G8.7	nhr-161	WBGene00016364	ZF - NHR				
C33G8.10	nhr-162	WBGene00016367	ZF - NHR				
C33G8.12	nhr-163	WBGene00016368	ZF - NHR				
C41G6.5	nhr-164	WBGene00008056	ZF - NHR				
C47F8.2	nhr-165	WBGene00008158	ZF - NHR				
C49D10.2	nhr-166	WBGene00016772	ZF - NHR				
C49F5.4	nhr-167	WBGene00008208	ZF - NHR				
C50B6.8	nhr-168	WBGene00008221	ZF - NHR				
C54C8.1	nhr-169	WBGene00008289	ZF - NHR				
C02B4.2	nhr-17	WBGene00003616	ZF - NHR				
C54E10.5	nhr-170	WBGene00008309	ZF - NHR				
C54F6.8	nhr-171	WBGene00016926	ZF - NHR				
C54F6.9	nhr-172	WBGene00016927	ZF - NHR				
C56E10.1	nhr-173	WBGene00016975	ZF - NHR				
E03H4.6	nhr-174	WBGene00008474	ZF - NHR				
F09F3.10	nhr-175	WBGene00008630	ZF - NHR				
F14H3.11	nhr-176	WBGene00008830	ZF - NHR				
F16B4.1	nhr-177	WBGene00017503	ZF - NHR				
F16B4.9	nhr-178	WBGene00017510	ZF - NHR				
F16B4.11	nhr-179	WBGene00017512	ZF - NHR				
F44C8.3	nhr-18	WBGene00003617	ZF - NHR				
F31F4.12	nhr-180	WBGene00017961	ZF - NHR				
F38H12.3	nhr-181	WBGene00018189	ZF - NHR				
F41B5.9	nhr-182	WBGene00018265	ZF - NHR				
F41B5.10	nhr-183	WBGene00018266	ZF - NHR				
F44C8.9	nhr-184	WBGene00018415	ZF - NHR				
F47C10.1	nhr-185	WBGene00018539	ZF - NHR				
F47C10.3	nhr-186	WBGene00018541	ZF - NHR				
F47C10.4	nhr-187	WBGene00018542	ZF - NHR				
F47C10.7	nhr-188	WBGene00018544	ZF - NHR				
F47C10.8	nhr-189	WBGene00018545	ZF - NHR				
E02H1.7	nhr-19	WBGene00003618	ZF - NHR				
F48G7.11	nhr-190	WBGene00018622	ZF - NHR				
F57A8.5	nhr-192	WBGene00010180	ZF - NHR				
F57G8.6	nhr-193	WBGene00010215	ZF - NHR				
F59E11.10	nhr-195	WBGene00019115	ZF - NHR				
K06B4.5	nhr-196	WBGene00010600	ZF - NHR				
K06B4.7	nhr-197	WBGene00010602	ZF - NHR				
K06B4.8	nhr-198	WBGene00010603	ZF - NHR				
K06B4.10	nhr-199	WBGene00010604	ZF - NHR				
C32F10.6	nhr-2	WBGene00003601	ZF - NHR				
F43C1.4	nhr-20	WBGene00003619	ZF - NHR				
M02H5.3	nhr-201	WBGene00019741	ZF - NHR				
M02H5.4	nhr-202	WBGene00019742	ZF - NHR				
M02H5.5	nhr-203	WBGene00019743	ZF - NHR				
R02C2.4	nhr-204	WBGene00019816	ZF - NHR				
R04B5.3	nhr-205	WBGene00011002	ZF - NHR				
R07B7.13	nhr-206	WBGene00011097	ZF - NHR				
R07B7.14	nhr-207	WBGene00011098	ZF - NHR				
R07B7.15	nhr-208	WBGene00011099	ZF - NHR				
R07B7.16	nhr-209	WBGene00011100	ZF - NHR				
F21D12.1	nhr-21	WBGene00003620	ZF - NHR				
R11G11.12	nhr-210	WBGene00020015	ZF - NHR				
T01G6.5	nhr-211	WBGene00020152	ZF - NHR				
T01G6.6	nhr-212	WBGene00020153	ZF - NHR				
T06C12.13	nhr-213	WBGene00011520	ZF - NHR				
T07C5.4	nhr-215	WBGene00011567	ZF - NHR				
T09D3.4	nhr-216	WBGene00020385	ZF - NHR				
T09E11.2	nhr-217	WBGene00011651	ZF - NHR				
T13F3.2	nhr-218	WBGene00011750	ZF - NHR				
T19A5.5	nhr-219	WBGene00020555	ZF - NHR - 2 domains				
K06A1.4	nhr-22	WBGene00003621	ZF - NHR				
T24A6.8	nhr-221	WBGene00020748	ZF - NHR				
T24A6.11	nhr-222	WBGene00020750	ZF - NHR				
T26E4.8	nhr-223	WBGene00012050	ZF - NHR				
T27B7.2	nhr-225	WBGene00020849	ZF - NHR				
T27B7.3	nhr-226	WBGene00020850	ZF - NHR				
T27B7.5	nhr-227	WBGene00020851	ZF - NHR				
T27B7.6	nhr-228	WBGene00020852	ZF - NHR				
Y116A8C.18	nhr-229	WBGene00013795	ZF - NHR				
C01H6.5	nhr-23	WBGene00003622	ZF - NHR				
Y17D7A.1	nhr-230	WBGene00012446	ZF - NHR				
Y17D7B.1	nhr-231	WBGene00012449	ZF - NHR				
Y22F5A.1	nhr-232	WBGene00012494	ZF - NHR				
Y32B12B.6	nhr-233	WBGene00006471	ZF - NHR				
Y38E10A.18	nhr-234	WBGene00012596	ZF - NHR				
Y46H3D.6	nhr-237	WBGene00021610	ZF - NHR				
Y46H3D.7	nhr-238	WBGene00021611	ZF - NHR				
Y54F10AM.1	nhr-239	WBGene00021848	ZF - NHR				
Y69H2.8	nhr-241	WBGene00013483	ZF - NHR				
Y69A2AR.26	nhr-242	WBGene00022097	ZF - NHR				
Y80D3A.4	nhr-243	WBGene00013584	ZF - NHR				
ZK1025.10	nhr-245	WBGene00014189	ZF - NHR				
ZK1037.5	nhr-247	WBGene00014193	ZF - NHR				
ZK218.6	nhr-248	WBGene00013940	ZF - NHR				
F11C1.6	nhr-25	WBGene00003623	ZF - NHR				
ZK488.4	nhr-251	WBGene00022756	ZF - NHR				
ZK6.2	nhr-252	WBGene00022637	ZF - NHR				
ZK6.4	nhr-253	WBGene00022639	ZF - NHR				
ZK6.5	nhr-254	WBGene00022640	ZF - NHR				
ZK678.2	nhr-255	WBGene00014068	ZF - NHR				
ZK697.2	nhr-256	WBGene00022805	ZF - NHR				
C17A2.1	nhr-257	WBGene00015869	ZF - NHR				
C26B2.4	nhr-258	WBGene00016126	ZF - NHR				
T07C5.5	nhr-26	WBGene00011568	ZF - NHR				
C38C3.9	nhr-260	WBGene00016517	ZF - NHR				
C49D10.9	nhr-261	WBGene00016777	ZF - NHR				
F09C6.8	nhr-262	WBGene00008619	ZF - NHR				
F14A5.1	nhr-264	WBGene00008778	ZF - NHR				
F41D3.3	nhr-265	WBGene00009608	ZF - NHR				
F56H1.2	nhr-266	WBGene00018993	ZF - NHR				
H22D14.1	nhr-267	WBGene00010410	ZF - NHR				
K06B4.6	nhr-268	WBGene00010601	ZF - NHR				
R08H2.9	nhr-269	WBGene00011150	ZF - NHR				
F16H9.2	nhr-27	WBGene00008901	ZF - NHR				
R13D11.8	nhr-270	WBGene00020062	ZF - NHR				
T03E6.3	nhr-271	WBGene00011396	ZF - NHR				
T07C5.2	nhr-272	WBGene00011565	ZF - NHR				
T12C9.1	nhr-273	WBGene00020460	ZF - NHR				
Y41D4B.21	nhr-274	WBGene00021522	ZF - NHR				
Y5H2A.2	nhr-275	WBGene00021163	ZF - NHR				
Y71A12C.1	nhr-276	WBGene00013512	ZF - NHR				
Y94H6A.1	nhr-277	WBGene00022374	ZF - NHR				
C11G6.4	nhr-28	WBGene00003624	ZF - NHR				
F16B12.8	nhr-281	WBGene00008884	ZF - NHR				
F57A10.6	nhr-283	WBGene00010186	ZF - NHR				
T26E4.16	nhr-285	WBGene00012056	ZF - NHR				
VC5.6	nhr-286	WBGene00044699	ZF - NHR				
H01A20.1	nhr-3	WBGene00003602	ZF - NHR				
C25E10.1	nhr-30	WBGene00016091	ZF - NHR				
C26B2.3	nhr-31	WBGene00003625	ZF - NHR				
K08H2.8	nhr-32	WBGene00003626	ZF - NHR				
ZK455.6	nhr-33	WBGene00013976	ZF - NHR				
F58G6.5	nhr-34	WBGene00003627	ZF - NHR				
C07A12.3	nhr-35	WBGene00003628	ZF - NHR				
F07C3.10	nhr-36	WBGene00017198	ZF - NHR				
F44C4.2	nhr-37	WBGene00018412	ZF - NHR				
K01H12.3	nhr-38	WBGene00003629	ZF - NHR				
F44A2.4	nhr-39	WBGene00018404	ZF - NHR				
F32B6.1	nhr-4	WBGene00003603	ZF - NHR				
T03G6.2	nhr-40	WBGene00003630	ZF - NHR				
Y104H12A.1	nhr-41	WBGene00022423	ZF - NHR				
C33G8.6	nhr-42	WBGene00003632	ZF - NHR				
C29E6.5	nhr-43	WBGene00003633	ZF - NHR				
T19A5.4	nhr-44	WBGene00003634	ZF - NHR				
F16H11.5	nhr-45	WBGene00003635	ZF - NHR				
C45E5.6	nhr-46	WBGene00003636	ZF - NHR				
C24G6.4	nhr-47	WBGene00003637	ZF - NHR				
ZK662.3	nhr-48	WBGene00003638	ZF - NHR				
K10C3.6	nhr-49	WBGene00003639	ZF - NHR				
Y73F8A.21	nhr-5	WBGene00003604	ZF - NHR				
C06C6.5	nhr-50	WBGene00003640	ZF - NHR				
K06B4.1	nhr-51	WBGene00003641	ZF - NHR				
K06B4.2	nhr-52	WBGene00003642	ZF - NHR				
K06B4.11	nhr-53	WBGene00003643	ZF - NHR				
F36D3.2	nhr-54	WBGene00003644	ZF - NHR				
T01G6.7	nhr-55	WBGene00003645	ZF - NHR				
F44C8.6	nhr-56	WBGene00003646	ZF - NHR				
T05B4.2	nhr-57	WBGene00003647	ZF - NHR				
R11G11.2	nhr-58	WBGene00003648	ZF - NHR				
T27B7.1	nhr-59	WBGene00003649	ZF - NHR				
C48D5.1	nhr-6	WBGene00003605	ZF - NHR				
F57A10.5	nhr-60	WBGene00003650	ZF - NHR				
W01D2.2	nhr-61	WBGene00003651	ZF - NHR				
Y67A6A.2	nhr-62	WBGene00003652	ZF - NHR				
C06C6.4	nhr-63	WBGene00003653	ZF - NHR				
C45E1.1	nhr-64	WBGene00003654	ZF - NHR				
Y17D7A.3	nhr-65	WBGene00003655	ZF - NHR				
T09A12.4	nhr-66	WBGene00003656	ZF - NHR				
C08F8.8	nhr-67	WBGene00003657	ZF - NHR				
H12C20.3	nhr-68	WBGene00003658	ZF - NHR				
T23H4.2	nhr-69	WBGene00003659	ZF - NHR				
F54D1.4	nhr-7	WBGene00003606	ZF - NHR				
Y51A2D.17	nhr-70	WBGene00003660	ZF - NHR				
K11E4.5	nhr-71	WBGene00003661	ZF - NHR				
C17A2.8	nhr-72	WBGene00003662	ZF - NHR				
C27C7.4	nhr-73	WBGene00003663	ZF - NHR				
C27C7.3	nhr-74	WBGene00003664	ZF - NHR				
C49D10.6	nhr-75	WBGene00003665	ZF - NHR				
C05G6.1	nhr-76	WBGene00015497	ZF - NHR				
T15D6.6	nhr-77	WBGene00003667	ZF - NHR				
F36A4.14	nhr-78	WBGene00003668	ZF - NHR				
T26H2.9	nhr-79	WBGene00003669	ZF - NHR				
F33D4.1	nhr-8	WBGene00003607	ZF - NHR				
H10E21.3	nhr-80	WBGene00003670	ZF - NHR				
C47F8.8	nhr-81	WBGene00003671	ZF - NHR				
F41D3.1	nhr-82	WBGene00003672	ZF - NHR				
T06C12.7	nhr-84	WBGene00003674	ZF - NHR				
W05B5.3	nhr-85	WBGene00003675	ZF - NHR				
Y40B10A.8	nhr-86	WBGene00003676	ZF - NHR				
Y41D4B.7	nhr-87	WBGene00003677	ZF - NHR				
K08A2.5	nhr-88	WBGene00003678	ZF - NHR				
E03H4.13	nhr-89	WBGene00003679	ZF - NHR				
ZK418.1	nhr-9	WBGene00003608	ZF - NHR				
ZK488.2	nhr-90	WBGene00003680	ZF - NHR				
Y15E3A.1	nhr-91	WBGene00003681	ZF - NHR				
Y41D4B.8	nhr-92	WBGene00003682	ZF - NHR				
C12D5.8	nhr-94	WBGene00003684	ZF - NHR				
Y39B6A.17	nhr-95	WBGene00003685	ZF - NHR				
F44C8.11	nhr-96	WBGene00003686	ZF - NHR				
H27C11.1	nhr-97	WBGene00003687	ZF - NHR				
M02H5.6	nhr-98	WBGene00003688	ZF - NHR				
M02H5.1	nhr-99	WBGene00003689	ZF - NHR				
Y75B8A.2	nob-1	WBGene00003779	HD - HOX				
F21D12.5	npax-1	WBGene00017664	Paired Domain - NPAX				
F48B9.5	npax-2	WBGene00018591	Paired Domain - NPAX				
R13.2	npax-3	WBGene00011257	Paired Domain - NPAX				
C09G9.7	npax-4	WBGene00007496	Paired Domain - NPAX				
C18F3.4	nsy-7	WBGene00044508	HD-like				
F26H11.2	nurf-1	WBGene00009180	AT Hook				
B0280.4	odd-1	WBGene00003845	ZF - C2H2 - 3 fingers				
C34H3.2	odd-2	WBGene00003846	ZF - C2H2 - 3 fingers				
T18D3.2	odr-7	WBGene00003854	ZF - NHR				
C09G9.6	oma-1	WBGene00003864	ZF - CCCH - 2 domains				
ZC513.6	oma-2	WBGene00003865	ZF - CCCH - 2 domains				
F45B8.4	pag-3	WBGene00003909	ZF - C2H2 - 5 fingers				
C38D4.6	pal-1	WBGene00003912	HD - HOX				
T27B1.2	pat-9	WBGene00003933	ZF - C2H2 - 3 fingers				
K07C11.1	pax-1	WBGene00003937	Paired Domain - FULL				
K06B9.5	pax-2	WBGene00003938	Paired Domain - FULL				
F27E5.2	pax-3	WBGene00003939	"HD - PRD, Paired Domain - FULL"				
C26C6.1	pbrm-1	WBGene00007042	"ZF - C2H2 - 1 finger, HMG box "				
T14F9.4	peb-1	WBGene00003968	ZF - FLYWCH				
T28H11.4	pes-1	WBGene00003976	WH - Fork Head				
M6.3	pha-2	WBGene00004011	HD - NK				
F38A6.1	pha-4	WBGene00004013	WH - Fork Head				
Y75B8A.1	php-3	WBGene00004024	HD - HOX				
Y49E10.14	pie-1	WBGene00004027	ZF - CCCH - 2 domains				
F45E4.2	plp-1	WBGene00004046	PUR				
F20D1.4	plp-2	WBGene00008976	PUR				
W10C8.2	pop-1	WBGene00004077	HMG box				
F52E1.1	pos-1	WBGene00004078	ZF - CCCH - 2 domains				
F40F8.7	pqm-1	WBGene00004096	ZF - C2H2 - 3 fingers				
C37A2.5	pqn-21	WBGene00004111	ZF - C2H2 - 1 finger				
W03D2.1	pqn-75	WBGene00004157	AT Hook x3				
K12H4.1	pros-1	WBGene00000448	HD - PROX				
T05G11.1	pzf-1	WBGene00011505	ZF - C2H2 - 6 fingers				
R02D3.7	R02D3.7	WBGene00019824	ZF - C2H2 - 1 finger				
R05D3.3	R05D3.3	WBGene00019878	ZF - C2H2 - 1 finger				
R07E5.5	R07E5.5	WBGene00011113	ZF - C2H2 - 1 finger				
R10E4.11	R10E4.11	WBGene00011206	ZF - C2H2 - 2 fingers				
R144.3	R144.3	WBGene00020093	ZF - C2H2 - 2 fingers				
R151.8	R151.8	WBGene00020111	MYB				
Y42H9AR.3	rabs-5	WBGene00021538	ZF - C2H2 - 1 finger				
Y39A1A.5	rabx-5	WBGene00012644	ZF - A20				
C27B7.4	rad-26	WBGene00007761	AT Hook				
ZK593.4	rbr-2	WBGene00004319	ARID/BRIGHT				
Y74C9A.4	rcor-1	WBGene00022278	"ZF - GATA, MYB (2x)"				
T01E8.2	ref-1	WBGene00004334	bHLH - 2 domains				
C47C12.3	ref-2	WBGene00004335	ZF - C2H2 - 3 fingers				
F11A10.2	repo-1	WBGene00008683	ZF - C2H2 - 1 finger				
K01G5.1	rnf-113	WBGene00010476	ZF - CCCH				
B0414.2	rnt-1	WBGene00004393	RNT				
F37D6.2	row-1	WBGene00009508	ZF - C2H2 - 5 fingers				
F53H10.2	saeg-1	WBGene00010012	"ZF - C2H2 - 1 finger, MYB "				
T23G5.6	saeg-2	WBGene00011964	AT Hook				
Y47D3B.7	sbp-1	WBGene00004735	bHLH				
C55C2.1	scrt-1	WBGene00016948	ZF - C2H2 - 2 fingers				
F52E10.1	sdc-1	WBGene00004745	ZF - C2H2 - 2 fingers				
C25D7.3	sdc-3	WBGene00004747	ZF - C2H2				
F12E12.5	sdz-12	WBGene00017406	ZF - C2H2 - 7 fingers				
ZK892.7	sdz-38	WBGene00014131	ZF - C2H2 - 2 fingers				
F19B10.9	sea-1	WBGene00004750	T-box				
K10G6.3	sea-2	WBGene00004751	ZF - C2H2 - 1 finger				
C32E12.5	sem-2	WBGene00004771	HMG box				
F15C11.1	sem-4	WBGene00004773	ZF - C2H2 - 7 fingers				
T12D8.1	set-16	WBGene00011729	AT Hook				
F15E6.1	set-9	WBGene00017482	AT Hook x1				
F44A6.2	sex-1	WBGene00004786	ZF - NHR				
T19E7.2	skn-1	WBGene00004804	bZIP				
W02H5.7	sknr-1	WBGene00020961	bZIP				
Y59A8B.13	slr-2	WBGene00013350	ZF - C2H2 - 3 fingers				
ZK370.2	sma-2	WBGene00004856	MH1				
R13F6.9	sma-3	WBGene00004857	MH1				
R12B2.1	sma-4	WBGene00004858	MH1				
T05A10.1	sma-9	WBGene00004862	ZF - C2H2 - 7 fingers				
K02D7.2	snai-1	WBGene00019299	ZF - C2H2 - 4 fingers				
F32H2.1	snpc-4	WBGene00001568	MYB - 5 domains				
ZK686.4	snu-23	WBGene00022794	ZF - C2H2 - 1 finger				
M04G12.4	somi-1	WBGene00010868	ZF - C2H2 - 1 finger				
K08A8.2	sox-2	WBGene00004949	HMG box				
F40E10.2	sox-3	WBGene00004950	HMG box				
C12D12.5	sox-4	WBGene00015716	HMG box				
AC3.10	spe-10	WBGene00004964	ZF - DHHC 				
C25G4.4	spe-44	WBGene00007732	"AT Hook, SAND"				
D1014.8	spr-1	WBGene00005006	MYB - 2 domains 				
C07A12.5	spr-3	WBGene00005008	ZF - C2H2 - 7 fingers				
C09H6.1	spr-4	WBGene00005009	ZF - C2H2 - 14 fingers				
F45H11.1	sptf-1	WBGene00009743	ZF - C2H2 - 1 finger				
T22C8.5	sptf-2	WBGene00011926	ZF - C2H2 - 3 fingers				
Y40B1A.4	sptf-3	WBGene00012735	ZF - C2H2 - 3 fingers				
C29G2.5	srt-58	WBGene00016233	ZF - NHR				
Y51H4A.17	sta-1	WBGene00013111	STAT				
Y48A6C.3	sup-35	WBGene00012976	ZF - C2H2 - 1 finger				
C01B7.1	sup-37	 WBGene00006342	ZF - C2H2 - 6 fingers				
Y113G7B.23	swsn-1	WBGene00004203	MYB				
Y71H2AM.17	swsn-3	WBGene00022182	HMG box				
C08B11.3	swsn-7	WBGene00007433	"ZF - C2H2 - 2 fingers, ARID/BRIGHT"				
ZK867.1	syd-9	WBGene00044068	ZF - C2H2 - 4 fingers				
T06G6.5	T06G6.5	WBGene00011547	ZF - C2H2 - 1 finger				
T07D10.3	T07D10.3	WBGene00011583	ZF - C2H2 - 4 fingers				
T07F8.4	T07F8.4	WBGene00020320	MYB				
T08G5.7	T08G5.7	WBGene00011626	ZF - C2H2 - 1 finger				
T10D4.6	T10D4.6	WBGene00020408	AT Hook				
T11G6.8	T11G6.8	WBGene00011722	ZF - CCCH				
T18D3.7	T18D3.7	WBGene00011824	TSC-22/dip/bun				
T20F7.1	T20F7.1	WBGene00020630	ZF - C2H2 - 2 fingers				
T20H4.2	T20H4.2	WBGene00020635	ZF - C2H2 - 2 fingers				
T22C8.3	T22C8.3	WBGene00011924	ZF - C2H2 - 1 finger				
T22C8.4	T22C8.4	WBGene00011925	ZF - C2H2 - 1 finger				
T23F11.4	T23F11.4	WBGene00011956	ZF - C2H2 - 1 finger				
T26A5.8	T26A5.8	WBGene00020823	CBF				
T26A8.4	T26A8.4	WBGene00020827	ZF - CCCH - 2 domains				
T27A8.2	T27A8.2	WBGene00012074	WH - Fork Head				
F31E8.3	tab-1	WBGene00006380	HD - NK				
F37D6.6	tag-68	WBGene00006445	MH1				
C33A11.4	tag-97	WBGene00006462	WH - ETS				
F40H6.4	tbx-11	WBGene00006547	T-box				
F21H11.3	tbx-2	WBGene00006543	T-box				
Y59E9AR.3	tbx-30	WBGene00006549	T-box				
C36C9.2	tbx-31	WBGene00006550	T-box				
ZK380.1	tbx-32	WBGene00006551	T-box				
Y66A7A.8	tbx-33	WBGene00006552	T-box				
Y47D3A.10	tbx-34	WBGene00006553	T-box				
ZK177.10	tbx-35	WBGene00006554	T-box				
ZK829.5	tbx-36	WBGene00006555	T-box				
Y47D3A.12	tbx-37	WBGene00006556	T-box				
C24H11.3	tbx-38	WBGene00006557	T-box				
Y73F8A.16	tbx-39	WBGene00006558	T-box				
Y73F8A.17	tbx-40	WBGene00006559	T-box				
T26C11.1	tbx-41	WBGene00006560	T-box				
Y59E9AR.5	tbx-42	WBGene00022000	T-box				
Y46E12A.4	tbx-43	WBGene00044798	T-box				
ZK328.8	tbx-7	WBGene00006544	T-box				
T07C4.2	tbx-8	WBGene00006545	T-box				
T07C4.6	tbx-9	WBGene00006546	T-box				
T23G4.1	tlp-1	WBGene00006580	ZF - C2H2 - 1 finger				
Y47D3A.6	tra-1	WBGene00006604	ZF - C2H2 - 5 fingers				
F53B3.1	tra-4	WBGene00018740	ZF - C2H2 - 6 fingers				
Y113G7A.6	ttx-1	WBGene00006652	HD - PRD				
C40H5.5	ttx-3	WBGene00006654	HD - LIM				
Y116A8C.35	uaf-2	WBGene00006698	ZF - CCCH 				
D1081.2	unc-120	WBGene00006844	MADS box				
C47G2.2	unc-130	WBGene00006853	WH - Fork Head				
Y16B4A.1	unc-3	WBGene00006743	IPT/TIG				
B0564.10	unc-30	WBGene00006766	HD - PRD				
F56A12.1	unc-39	WBGene00006775	HD - SIX				
F26C11.2	unc-4	WBGene00006744	HD - PRD				
F58E6.10	unc-42	WBGene00006778	HD - PRD				
F55D12.4	unc-55	WBGene00006790	ZF - NHR				
T28F12.2	unc-62	WBGene00006796	HD - TALE				
C30A5.7	unc-86	WBGene00006818	HD - POU				
R07B1.1	vab-15	WBGene00006881	HD - NK				
F14F3.1	vab-3	WBGene00006870	"HD - PRD, Paired Domain - FULL"				
M142.4	vab-7	WBGene00006873	HD - HOX				
W02D7.6	W02D7.6	WBGene00020942	ZF - C2H2 - 3 fingers				
W03F9.2	W03F9.2	WBGene00021000	ZF - C2H2 - 2 fingers				
W04B5.2	W04B5.2	WBGene00021019	ZF - C2H2 - 1 finger				
W04D2.4	W04D2.4	WBGene00012243	ZF - C2H2 - 1 finger				
R74.3	xbp-1	WBGene00006959	bZIP				
Y105C5A.15	Y105C5A.15	WBGene00013639	ZF - BED				
Y111B2A.10	Y111B2A.10	WBGene00013734	ZF - C2H2 - 6 fingers				
Y116A8C.19	Y116A8C.19	WBGene00013796	ZF - CCCH - 2 domains				
Y116A8C.20	Y116A8C.20	WBGene00013797	ZF - CCCH - 2 domains				
Y17G7B.22	Y17G7B.22	WBGene00012473	ZF - C2H2 - 2 fingers				
Y22D7AL.16	Y22D7AL.16	WBGene00021254	ZF - C2H2 - 2 fingers				
Y37E11B.1	Y37E11B.1	WBGene00021374	ZF - C2H2 - 3 fingers				
Y37F4.6	Y37F4.6	WBGene00021387	ZF - C2H2 - 1 finger				
Y47G6A.7	Y47G6A.7	WBGene00021637	ZF - C2H2 - 1 finger				
Y48C3A.12	Y48C3A.12	WBGene00012994	TSC-22/dip/bun				
Y48G8AL.10	Y48G8AL.10	WBGene00021689	ZF - C2H2 - 12 fingers				
Y48G9A.11	Y48G9A.11	WBGene00021704	ZF - C2H2 - 2 fingers				
Y53F4B.5	Y53F4B.5	WBGene00013152	ZF - C2H2 - 1 finger				
Y53G8AR.9	Y53G8AR.9	WBGene00021816	ZF - CCCH - 2 domains				
Y53H1A.2	Y53H1A.2	WBGene00013178	ZF - C2H2 - 1 finger				
Y55F3AM.14	Y55F3AM.14	WBGene00021931	ZF - C2H2 - 9 fingers				
Y55F3AM.6	Y55F3AM.6	WBGene00021924	ZF - CCCH - 3 domains				
Y56A3A.18	Y56A3A.18	WBGene00013236	ZF - C2H2 - 1 finger				
Y56A3A.28	Y56A3A.28	WBGene00013240	ZF - C2H2 - 2 fingers				
Y57A10A.31	Y57A10A.31	WBGene00013270	ZF - C2H2 - 1 finger				
Y5F2A.4	Y5F2A.4	WBGene00012385	ZF - C2H2 - 5 fingers				
Y60A9.3	Y60A9.3	WBGene00013370	ZF - CCCH - 2 domains				
Y67H2A.10	Y67H2A.10	WBGene00013465	ZF - C2H2 - 3 fingers				
Y71A12B.8	Y71A12B.8	WBGene00013505	ZF - C2H2 - 2 fingers				
Y79H2A.3	Y79H2A.3	WBGene00013580	ZF - C2H2 - 3 fingers				
Y82E9BR.1	Y82E9BR.1	WBGene00022334	ZF - C2H2 - 2 fingers				
Y82E9BR.17	Y82E9BR.17	WBGene00022349	ZF - C2H2 - 1 finger				
