"","LE_1","LE_2","L1_1","L1_2","L3_1","L3_2","LE_IDR","L1_IDR","L3_IDR","summit_agreement","k4cluster","k11cluster","k4weights","k11weights","LE_nonNormed","L1_nonNormed","L3_nonNormed","LE_std","L1_std","L3_std","name","k4labels","variance","peak","feature","start_position","end_position","feature_strand","insideFeature","distancetoFeature","shortestDistance","fromOverlappingOrNearest"
"ELT2peak02584",2.13993,2.229482,2.847997,3.480265,3.720478,4.220048,1,0,1,19,4,10,"0.952","1.000","2.185","3.164","3.970","-1.031","0.065","0.966","ELT2peak02584","Increasing",0.799555988716333,"ELT2peak02584","WBGene00006367",9178514,9188331,"-","inside",2087,2512,"Overlapping"
"ELT2peak02586",0.9386,1.358454,2.773996,2.526069,4.184424,5.288761,0,1,1,50.25,4,11,"0.666","1.000","1.149","2.650","4.737","-0.941","-0.108","1.050","ELT2peak02586","Increasing",3.24707757207008,"ELT2peak02586","WBGene00002299",9197518,9207210,"+","inside",-3910,493,"Overlapping"
"ELT2peak02587",0.835369,1.028014,1.432959,2.226508,3.110424,2.991779,0,0,1,47.5,4,11,"0.682","1.000","0.932","1.830","3.051","-0.945","-0.101","1.047","ELT2peak02587","Increasing",1.13168632888133,"ELT2peak02587","WBGene00002299",9197518,9207210,"+","inside",-928,3628,"Overlapping"
"ELT2peak02588",1.532733,1.061401,3.526069,4.169925,5.129283,5.656913,0,0,1,11.5,4,10,"0.998","1.000","1.297","3.848","5.393","-1.071","0.162","0.909","ELT2peak02588","Increasing",4.27867515301033,"ELT2peak02588","WBGene00014210",9210376,9213100,"+","inside",180,943,"Overlapping"
"ELT2peak02589",0.793549,0.527512,3.226509,3.049631,3.617384,4.288761,0,0,1,8.5,4,8,"0.921","1.000","0.661","3.138","3.953","-1.122","0.323","0.798","ELT2peak02589","Increasing",2.94054397847175,"ELT2peak02589","WBGene00014208",9213658,9222798,"+","inside",-3530,789,"Overlapping"
"ELT2peak02590",2.222393,2.074001,3.169925,2.918386,6.220049,6.447459,1,1,1,16,3,9,"0.869","1.000","2.148","3.044","6.334","-0.769","-0.362","1.131","ELT2peak02590","L3-high",4.85718122086225,"ELT2peak02590","WBGene00001761",9231457,9232340,"+","overlapStart",-384,352,"Overlapping"
"ELT2peak02591",1.222392,1.289507,3.570463,3.43296,4.74514,5.462409,0,0,1,48,4,10,"0.983","1.000","1.256","3.502","5.104","-1.051","0.111","0.940","ELT2peak02591","Increasing",3.73596834120633,"ELT2peak02591","WBGene00012033",9236583,9249123,"+","inside",-2983,2937,"Overlapping"
"ELT2peak02592",0.900464,0.630766,2.9855,3.049631,3.321928,2.949959,0,0,1,213,4,8,"0.582","1.000","0.766","3.018","3.136","-1.154","0.532","0.621","ELT2peak02592","Increasing",1.78395860054108,"ELT2peak02592","WBGene00012033",9236583,9249123,"+","inside",-997,4817,"Overlapping"
"ELT2peak02593",1.369234,1.929611,2.9855,3.43296,2.184424,2.617384,0,0,1,3.5,2,5,"0.950","1.000","1.649","3.209","2.401","-0.988","1.012","-0.024","ELT2peak02593","Post-embryonic",0.608519134029083,"ELT2peak02593","WBGene00012033",9236583,9249123,"+","inside",280,5609,"Overlapping"
"ELT2peak02595",1.286523,1.192645,1.847997,1.613532,1.816693,2.110424,0,0,1,1,4,10,"0.985","1.000","1.240","1.731","1.964","-1.096","0.233","0.863","ELT2peak02595","Increasing",0.136598401111083,"ELT2peak02595","WBGene00007227",9275024,9280098,"-","inside",1616,503,"Overlapping"
"ELT2peak02596",0.910448,0.665016,2.333424,2.695994,3.617384,3.99178,0,0,1,33,4,10,"0.975","1.000","0.788","2.515","3.805","-1.045","0.096","0.948","ELT2peak02596","Increasing",2.29126763952633,"ELT2peak02596","WBGene00007227",9275024,9280098,"-","inside",148,2113,"Overlapping"
"ELT2peak02597",0.850424,0.771181,1.9855,2.049631,2.386058,2.364997,0,0,1,1,4,8,"0.897","1.000","0.811","2.018","2.376","-1.127","0.345","0.782","ELT2peak02597","Increasing",0.672129676206333,"ELT2peak02597","WBGene00007227",9275024,9280098,"-","inside",-948,1214,"Overlapping"
"ELT2peak02601",2.982442,2.798953,4.384049,4.559492,6.879305,7.541977,1,1,1,10.5,4,11,"0.496","1.000","2.891","4.472","7.211","-0.900","-0.177","1.077","ELT2peak02601","Increasing",4.77718588171525,"ELT2peak02601","WBGene00007228",9292017,9294050,"+","overlapStart",-1197,63,"Overlapping"
"ELT2peak02602",1.222393,0.884523,2.333424,2.226508,1.862496,1.669851,0,0,1,122,2,6,"0.981","1.000","1.053","2.280","1.766","-1.049","0.942","0.108","ELT2peak02602","Post-embryonic",0.379377998510083,"ELT2peak02602","WBGene00007229",9294029,9295753,"-","overlapEnd",718,591,"Overlapping"
"ELT2peak02603",1.222392,0.962525,2.773996,2.847997,3.447459,2.862497,0,0,1,197.5,4,8,"0.802","1.000","1.092","2.811","3.155","-1.141","0.415","0.726","ELT2peak02603","Increasing",1.22094713627775,"ELT2peak02603","WBGene00007229",9294029,9295753,"-","overlapStart",-2363,414,"Overlapping"
"ELT2peak02604",1.132195,0.9386,2.43296,2.226508,1.669851,2.769387,0,0,1,23.5,2,6,"0.597","1.000","1.035","2.330","2.220","-1.151","0.652","0.499","ELT2peak02604","Post-embryonic",0.51496880825325,"ELT2peak02604","WBGene00000289",9295918,9310304,"-","inside",3165,3565,"Overlapping"
"ELT2peak02605",3.632677,3.433897,2.291604,2.818851,5.14172,5.386058,1,1,1,27.6666666666667,3,7,"0.735","1.000","3.533","2.555","5.264","-0.183","-0.896","1.079","ELT2peak02605","L3-high",1.88140513158775,"ELT2peak02605","WBGene00000289",9295918,9310304,"-","inside",1730,5111,"Overlapping"
"ELT2peak02606",1.070389,1.415038,1.028569,0.847997,2.769387,3.032422,0,0,1,21.5,3,7,"0.910","1.000","1.243","0.938","2.901","-0.427","-0.715","1.143","ELT2peak02606","L3-high",1.11569307901225,"ELT2peak02606","WBGene00008403",9317551,9319627,"-","overlapStart",-1240,164,"Overlapping"
"ELT2peak02607",1.460552,1.074001,3.570463,4.049631,6.081665,6.520708,0,0,1,8,4,10,"0.885","1.000","1.267","3.810","6.301","-1.003","0.007","0.997","ELT2peak02607","Increasing",6.33528461870508,"ELT2peak02607","WBGene00001134",9324874,9329665,"+","inside",-1502,706,"Overlapping"
"ELT2peak02608",1.658492,1.321928,1.400538,0.748461,3.562936,4.110424,0,0,1,22.5,3,7,"0.914","1.000","1.490","1.074","3.837","-0.432","-0.711","1.143","ELT2peak02608","L3-high",2.21806296588175,"ELT2peak02608","WBGene00009627",9353000,9354327,"+","overlapStart",-802,127,"Overlapping"
"ELT2peak02610",1.148392,0.858644,1.9855,1.526069,2.949959,3.669851,0,0,1,31.5,3,11,"0.572","1.000","1.004","1.756","3.310","-0.867","-0.227","1.094","ELT2peak02610","L3-high",1.38343606821858,"ELT2peak02610","WBGene00003196",9358531,9369098,"+","inside",-4228,780,"Overlapping"
"ELT2peak02611",0.665999,0.66015,2.773996,2.226508,2.769387,3.184425,0,0,1,78,4,8,"0.865","1.000","0.663","2.500","2.977","-1.133","0.371","0.761","ELT2peak02611","Increasing",1.49270606876908,"ELT2peak02611","WBGene00175031",9375107,9375848,"+","overlapStart",-530,162,"Overlapping"
"ELT2peak02612",2.029747,2.222392,2.226508,3.111032,3.254814,3.816693,0,0,1,0.5,4,11,"0.559","1.000","2.126","2.669","3.536","-0.915","-0.152","1.067","ELT2peak02612","Increasing",0.505565533638084,"ELT2peak02612","WBGene00014668",9376455,9378242,"+","overlapEnd",1036,105,"Overlapping"
"ELT2peak02613",1.453718,1.415038,3.43296,3.526069,2.447459,3.643856,0,0,1,8.5,2,6,"0.840","1.000","1.434","3.480","3.046","-1.131","0.767","0.364","ELT2peak02613","Post-embryonic",1.16117280453358,"ELT2peak02613","WBGene00013091",9395493,9397596,"-","overlapStart",-1174,217,"Overlapping"
"ELT2peak02614",1.892244,1.72316,4.169925,4.408712,5.520708,5.432352,0,1,1,25.25,4,10,"0.987","1.000","1.808","4.289","5.477","-1.095","0.230","0.865","ELT2peak02614","Increasing",3.50469841539808,"ELT2peak02614","WBGene00006429",9412565,9414144,"+","overlapStart",-1040,22,"Overlapping"
"ELT2peak02615",2.292782,2.59561,2.226509,1.9855,3.477206,3.769387,1,0,1,139.25,3,7,"0.858","1.000","2.444","2.106","3.623","-0.352","-0.776","1.128","ELT2peak02615","L3-high",0.63447108217275,"ELT2peak02615","WBGene00010941",9414559,9416431,"-","overlapStart",-1325,251,"Overlapping"
"ELT2peak02616",2.115477,1.884523,2.9855,2.9855,3.99178,3.816693,1,0,1,24,4,10,"0.907","1.000","2.000","2.986","3.904","-1.011","0.023","0.988","ELT2peak02616","Increasing",0.90690060906075,"ELT2peak02616","WBGene00010942",9417013,9418316,"+","overlapEnd",919,114,"Overlapping"
"ELT2peak02618",1.762961,1.567041,2.526069,1.526069,3.184425,3.720477,0,0,1,17.5,3,9,"0.890","1.000","1.665","2.026","3.452","-0.758","-0.376","1.133","ELT2peak02618","L3-high",0.893318868841333,"ELT2peak02618","WBGene00010943",9420178,9422196,"+","overlapStart",-971,302,"Overlapping"
"ELT2peak02619",1.115477,1.093109,1.695994,1.526069,2.184425,3.184425,0,0,1,296,3,11,"0.589","1.000","1.104","1.611","2.684","-0.862","-0.234","1.096","ELT2peak02619","L3-high",0.65096244177475,"ELT2peak02619","WBGene00010947",9422269,9423296,"+","overlapStart",-214,67,"Overlapping"
"ELT2peak02620",2.839064,2.616671,5.140779,5.280956,6.839776,6.89592,1,1,1,44.2222222220153,4,10,"0.992","1.000","2.728","5.211","6.868","-1.060","0.132","0.927","ELT2peak02620","Increasing",4.34171865296008,"ELT2peak02620","WBGene00011167",9466960,9468477,"-","overlapStart",-974,166,"Overlapping"
"ELT2peak02621",1.762961,1.69883,2.333424,2.695994,5.477206,6.362343,0,1,1,16.5,3,9,"0.913","1.000","1.731","2.515","5.920","-0.744","-0.392","1.137","ELT2peak02621","L3-high",4.95925698978558,"ELT2peak02621","WBGene00044807",9469119,9470082,"-","overlapStart",-764,63,"Overlapping"
"ELT2peak02624",0.859822,0.762961,3.280956,3.43296,1.89812,2.184425,0,0,1,59,2,5,"0.951","1.000","0.811","3.357","2.041","-0.989","1.011","-0.022","ELT2peak02624","Post-embryonic",1.62059073583225,"ELT2peak02624","WBGene00011849",9486377,9488260,"-","overlapEnd",1126,217,"Overlapping"
"ELT2peak02625",1.428843,1.521953,4.715894,5.017922,5.960528,6.603964,0,1,1,15.5,4,10,"0.967","1.000","1.475","4.867","6.282","-1.106","0.267","0.840","ELT2peak02625","Increasing",6.101884904908,"ELT2peak02625","WBGene00011849",9486377,9488260,"-","inside",-534,58,"Overlapping"
"ELT2peak02629",1.329308,1.311944,2.333424,2.613532,2.184425,2.321928,0,0,1,2.5,2,6,"0.806","1.000","1.321","2.473","2.253","-1.136","0.748","0.388","ELT2peak02629","Post-embryonic",0.374541819976084,"ELT2peak02629","WBGene00009448",9557646,9559516,"+","overlapStart",-666,270,"Overlapping"
"ELT2peak02631",2.222392,1.955606,1.773996,2.086784,3.599462,3.862497,1,0,1,36.875,3,7,"0.954","1.000","2.089","1.930","3.731","-0.496","-0.655","1.151","ELT2peak02631","L3-high",0.993896554128583,"ELT2peak02631","WBGene00009450",9584384,9586815,"-","overlapStart",-1430,212,"Overlapping"
"ELT2peak02632",1.688056,1.978938,1.333424,1.333424,1.966833,2.447459,0,0,1,16.5,3,4,"0.541","1.000","1.833","1.333","2.207","0.096","-1.045","0.948","ELT2peak02632","L3-high",0.192179452302333,"ELT2peak02632","WBGene00008456",9588212,9589767,"-","overlapEnd",996,131,"Overlapping"
"ELT2peak02633",2.185866,2.628031,2.865919,2.883621,3.005455,3.058894,1,1,1,86,0,0,"0.000","0.000","2.407","2.875","3.032","-1.120","0.318","0.802","ELT2peak02633","Not-changing or not IDR-passing",0.105756780593083,"ELT2peak02633","WBGene00006473",9591292,9592936,"+","overlapStart",-887,441,"Overlapping"
"ELT2peak02634",1.045515,0.798366,2.773996,3.111031,4.271887,3.884864,0,0,1,116.5,4,10,"0.998","1.000","0.922","2.943","4.078","-1.079","0.184","0.895","ELT2peak02634","Increasing",2.55599660676633,"ELT2peak02634","WBGene00003618",9598197,9605526,"-","overlapEnd",3876,163,"Overlapping"
"ELT2peak02635",1.074294,0.908077,2.358959,2.358959,3.90689,4.005455,1,1,1,200.888888888682,4,11,"0.787","1.000","0.991","2.359","3.956","-0.973","-0.052","1.025","ELT2peak02635","Increasing",2.20217387034225,"ELT2peak02635","WBGene00003618",9598197,9605526,"-","inside",846,2084,"Overlapping"
"ELT2peak02636",0.527247,0.139403,1.576695,1.273303,5.491853,5.617384,0,0,1,7,3,9,"0.878","1.000","0.333","1.425","5.555","-0.764","-0.368","1.132","ELT2peak02636","L3-high",7.58456919169975,"ELT2peak02636","WBGene00003618",9598197,9605526,"-","inside",-46,3490,"Overlapping"
"ELT2peak02637",1.870091,2.228624,3.226509,3.007195,5.30544,5.576742,1,1,1,8.5,3,11,"0.609","1.000","2.049","3.117","5.441","-0.857","-0.242","1.099","ELT2peak02637","L3-high",3.00758126194558,"ELT2peak02637","WBGene00003618",9598197,9605526,"-","inside",-2360,428,"Overlapping"
"ELT2peak02638",1.052467,1.704544,4.480265,4.358959,4.884864,4.928586,0,1,1,139.5,4,8,"0.752","1.000","1.379","4.420","4.907","-1.145","0.445","0.700","ELT2peak02638","Increasing",3.65565677654858,"ELT2peak02638","WBGene00011791",9607533,9609396,"-","overlapEnd",1472,43,"Overlapping"
"ELT2peak02639",1.222393,1.530515,3.111032,3.049631,3.032422,3.562936,0,0,1,120.5,4,8,"0.705","1.000","1.376","3.080","3.298","-1.149","0.471","0.678","ELT2peak02639","Increasing",1.10692399523125,"ELT2peak02639","WBGene00011788",9615800,9617125,"-","overlapStart",-1228,132,"Overlapping"
"ELT2peak02640",2.145771,2.075551,3.773996,4.307428,5.35435,6.228819,1,1,1,12.8888888893028,4,10,"0.918","1.000","2.111","4.041","5.792","-1.016","0.032","0.983","ELT2peak02640","Increasing",3.38997486445158,"ELT2peak02640","WBGene00001038",9617426,9624176,"-","inside",769,1822,"Overlapping"
"ELT2peak02641",0.713379,0.327575,2.918386,2.613532,2.364997,2.486987,0,0,1,28.5,2,6,"0.733","1.000","0.520","2.766","2.426","-1.143","0.712","0.431","ELT2peak02641","Post-embryonic",1.46479239810633,"ELT2peak02641","WBGene00001038",9617426,9624176,"-","inside",-1377,1647,"Overlapping"
"ELT2peak02642",2.47032,2.23816,1.111031,1.111031,1.769387,3.386058,1,0,1,37.25,1,4,"0.458","1.000","2.354","1.111","2.578","0.430","-1.143","0.713","ELT2peak02642","LE-specific",0.624449500276583,"ELT2peak02642","WBGene00014249",9624590,9626641,"+","overlapStart",-1242,95,"Overlapping"
"ELT2peak02643",1.122857,1.180572,2.226508,2.613532,2.562936,2.321928,0,0,1,160.5,4,8,"0.518","1.000","1.152","2.420","2.442","-1.155","0.562","0.592","ELT2peak02643","Increasing",0.545842133980083,"ELT2peak02643","WBGene00001510",9640167,9644466,"-","inside",320,1108,"Overlapping"
"ELT2peak02644",2.286523,2.125531,2.111031,2.333424,1.862496,2.254814,0,0,1,125.5,0,0,"0.000","0.000","2.206","2.222","2.059","0.485","0.665","-1.150","ELT2peak02644","Not-changing or not IDR-passing",0.00812282089008332,"ELT2peak02644","WBGene00001510",9640167,9644466,"-","inside",-1225,371,"Overlapping"
"ELT2peak02647",2.566347,2.29956,3.695994,3.735522,6.590417,6.906891,1,1,1,337.555555555349,3,11,"0.663","1.000","2.433","3.716","6.749","-0.842","-0.263","1.105","ELT2peak02647","L3-high",4.91155272295608,"ELT2peak02647","WBGene00014251",9656689,9657719,"+","overlapStart",-1106,146,"Overlapping"
"ELT2peak02648",1.33787,1.584963,2.263034,2.555816,3.652573,3.669851,0,0,1,1,4,11,"0.703","1.000","1.461","2.409","3.661","-0.951","-0.092","1.043","ELT2peak02648","Increasing",1.21746517521025,"ELT2peak02648","WBGene00014252",9657876,9659002,"-","overlapStart",-665,137,"Overlapping"
"ELT2peak02649",1.451874,0.644519,3.280956,3.111032,4.432352,4.682675,0,0,1,16.5,4,10,"0.996","1.000","1.048","3.196","4.558","-1.066","0.148","0.918","ELT2peak02649","Increasing",3.13034587606258,"ELT2peak02649","WBGene00014253",9659246,9660442,"-","overlapStart",-712,2,"Overlapping"
"ELT2peak02650",2.222393,2.125531,1.695994,0.9855,2.862497,2.949959,0,0,1,16.5,3,4,"0.577","1.000","2.174","1.341","2.906","0.043","-1.021","0.978","ELT2peak02650","L3-high",0.613531915390333,"ELT2peak02650","WBGene00006390",9669324,9671499,"+","overlapStart",-1244,103,"Overlapping"
"ELT2peak02653",1.111361,1.093109,2.918386,2.773996,3.299902,3.467359,0,0,1,0,4,8,"0.906","1.000","1.102","2.846","3.384","-1.125","0.337","0.788","ELT2peak02653","Increasing",1.42249819558608,"ELT2peak02653","WBGene00014258",9684088,9686713,"-","overlapStart",-1476,84,"Overlapping"
"ELT2peak02654",2.129283,1.938599,1.895303,1.333424,2.447459,3.254814,0,0,1,16,3,7,"0.755","1.000","2.034","1.614","2.851","-0.211","-0.878","1.089","ELT2peak02654","L3-high",0.395576869542583,"ELT2peak02654","WBGene00013139",9704882,9706240,"-","overlapStart",-945,76,"Overlapping"
"ELT2peak02655",1.556811,1.479168,2.43296,1.9855,2.321928,2.321928,0,0,1,3,4,8,"0.755","1.000","1.518","2.209","2.322","-1.145","0.443","0.702","ELT2peak02655","Increasing",0.18947189663775,"ELT2peak02655","WBGene00006940",9713737,9716467,"-","overlapEnd",1674,45,"Overlapping"
"ELT2peak02657",5.058894,5.058894,2,2,2.184425,2.184425,0,0,1,33,1,1,"0.908","1.000","5.059","2.000","2.184","1.153","-0.630","-0.523","ELT2peak02657","LE-specific",2.94223618597033,"ELT2peak02657","WBGene00194906",9717669,9718698,"-","overlapStart",-780,141,"Overlapping"
"ELT2peak02658",5.058894,5.058894,2.695994,3.111032,4.184424,5.254814,0,0,1,2.5,1,3,"0.707","1.000","5.059","2.904","4.720","0.718","-1.142","0.425","ELT2peak02658","LE-specific",1.343169297337,"ELT2peak02658","WBGene00003100",9732137,9738035,"+","overlapStart",-3030,274,"Overlapping"
"ELT2peak02659",1.456858,1.490986,3.811471,4.526069,6.096116,6.569855,0,0,1,10,4,10,"0.958","1.000","1.474","4.169","6.333","-1.034","0.073","0.962","ELT2peak02659","Increasing",5.92608876176275,"ELT2peak02659","WBGene00013144",9738982,9742884,"-","overlapEnd",1927,265,"Overlapping"
"ELT2peak02660",1.772589,1.695145,3.38405,3.9855,4.769387,4.937173,1,0,1,41.125,4,10,"0.998","1.000","1.734","3.685","4.853","-1.072","0.165","0.907","ELT2peak02660","Increasing",2.483697237343,"ELT2peak02660","WBGene00013144",9738982,9742884,"-","inside",105,1451,"Overlapping"
"ELT2peak02661",0.987927,1.02272,2.111031,1.526069,3.237536,3.816693,0,0,1,13,3,11,"0.584","1.000","1.005","1.819","3.527","-0.864","-0.232","1.096","ELT2peak02661","L3-high",1.65665997310725,"ELT2peak02661","WBGene00013144",9738982,9742884,"-","inside",-657,1055,"Overlapping"
"ELT2peak02662",1.070389,1.559427,2.526069,1.9855,3.447459,3.669851,0,0,1,108.5,4,11,"0.668","1.000","1.315","2.256","3.559","-0.942","-0.107","1.049","ELT2peak02662","Increasing",1.26952012133858,"ELT2peak02662","WBGene00013144",9738982,9742884,"-","overlapStart",-1783,189,"Overlapping"
"ELT2peak02663",2.645604,1.762961,2.226508,1.9855,3.401655,3.630681,1,0,1,67,3,7,"0.963","1.000","2.204","2.106","3.516","-0.514","-0.639","1.152","ELT2peak02663","L3-high",0.619877455928083,"ELT2peak02663","WBGene00013143",9742982,9746074,"-","overlapStart",-1837,75,"Overlapping"
"ELT2peak02665",2.768361,2.943966,2.169925,1.754888,4.506352,5.166277,1,0,1,34.75,3,7,"0.781","1.000","2.856","1.962","4.836","-0.246","-0.854","1.100","ELT2peak02665","L3-high",2.16319112505233,"ELT2peak02665","WBGene00011678",9775146,9775883,"-","overlapEnd",532,202,"Overlapping"
"ELT2peak02666",2.004801,1.36059,1.883621,1.584962,2.184425,2.386058,1,0,1,40.5,0,0,"0.000","0.000","1.683","1.734","2.285","-0.653","-0.498","1.151","ELT2peak02666","Not-changing or not IDR-passing",0.111544955305333,"ELT2peak02666","WBGene00011677",9779182,9781950,"-","overlapStart",-1471,292,"Overlapping"
"ELT2peak02667",1.850424,1.656046,3.017922,2.952333,4.506352,4.90689,1,1,1,24.2222222220153,4,11,"0.661","1.000","1.753","2.985","4.707","-0.940","-0.110","1.050","ELT2peak02667","Increasing",2.20059797784908,"ELT2peak02667","WBGene00011676",9783403,9787419,"-","overlapStart",-2235,130,"Overlapping"
"ELT2peak02668",1.222393,1.23816,3.111032,3.43296,2.343623,2.652573,0,0,1,1.5,2,6,"0.980","1.000","1.230","3.272","2.498","-1.070","0.911","0.160","ELT2peak02668","Post-embryonic",1.06248466449108,"ELT2peak02668","WBGene00011675",9788801,9793284,"-","overlapEnd",2108,214,"Overlapping"
"ELT2peak02669",2.626783,2.556393,5.773996,5.64501,5.79717,5.888559,1,1,1,13.2222222220153,4,8,"0.564","1.000","2.592","5.710","5.843","-1.154","0.541","0.613","ELT2peak02669","Increasing",3.38499635272658,"ELT2peak02669","WBGene00011675",9788801,9793284,"-","inside",-372,1591,"Overlapping"
"ELT2peak02670",0.881355,1.222392,1.811471,1.9855,3.032422,3.110424,0,0,1,13.5,4,11,"0.668","1.000","1.052","1.898","3.071","-0.942","-0.107","1.049","ELT2peak02670","Increasing",1.02851907340008,"ELT2peak02670","WBGene00011671",9795848,9797740,"-","overlapStart",-1126,172,"Overlapping"
"ELT2peak02671",0.959358,0.678072,3.570463,3.883621,3.032421,3.110424,0,0,1,18,2,6,"0.860","1.000","0.819","3.727","3.071","-1.128","0.779","0.349","ELT2peak02671","Post-embryonic",2.32714899137758,"ELT2peak02671","WBGene00011672",9798277,9800363,"-","overlapStart",-1282,108,"Overlapping"
"ELT2peak02672",1.359896,1.119582,3.735522,3.883621,3.288761,3.884864,0,0,1,25.5,2,6,"0.600","1.000","1.240","3.810","3.587","-1.151","0.654","0.497","ELT2peak02672","Post-embryonic",2.02706911075658,"ELT2peak02672","WBGene00011673",9800761,9802721,"-","overlapStart",-1091,157,"Overlapping"
"ELT2peak02673",5.058894,5.058894,3.570463,3.41684,4.643856,4.506352,1,1,1,28,1,3,"0.822","1.000","5.059","3.494","4.575","0.852","-1.101","0.249","ELT2peak02673","LE-specific",0.642262726277083,"ELT2peak02673","WBGene00011674",9805627,9807532,"-","overlapStart",-1162,125,"Overlapping"
"ELT2peak02674",0.932886,1.283793,0.773996,0.748461,1.617384,1.599462,0,0,1,18,3,7,"0.690","1.000","1.108","0.761","1.608","-0.120","-0.935","1.054","ELT2peak02674","L3-high",0.181384679020583,"ELT2peak02674","WBGene00007464",9882728,9886442,"-","overlapStart",-1809,305,"Overlapping"
"ELT2peak02675",0.33787,0.584963,2.43296,2.111031,2.032421,1.669851,0,0,1,38.5,2,6,"0.870","1.000","0.461","2.272","1.851","-1.126","0.785","0.341","ELT2peak02675","Post-embryonic",0.897773220443583,"ELT2peak02675","WBGene00007463",9886557,9891081,"-","inside",-1681,117,"Overlapping"
"ELT2peak02676",2.63743,2.563136,3.226509,3.480265,3.960529,4.839776,1,0,1,32,4,11,"0.666","1.000","2.600","3.353","4.400","-0.941","-0.108","1.050","ELT2peak02676","Increasing",0.817068977306083,"ELT2peak02676","WBGene00086566",9892778,9894370,"+","overlapStart",-1264,124,"Overlapping"
"ELT2peak02677",0.970854,0.530515,1.695994,1.9855,5.30544,5.401655,0,0,1,31.5,3,9,"0.823","1.000","0.751","1.841","5.354","-0.789","-0.336","1.125","ELT2peak02677","L3-high",5.78572523391258,"ELT2peak02677","WBGene00009146",9895538,9897351,"+","overlapStart",-954,299,"Overlapping"
"ELT2peak02678",1.374395,0.900464,1.333424,1.773996,3.110424,3.617384,0,0,1,37,3,9,"0.913","1.000","1.137","1.554","3.364","-0.744","-0.393","1.137","ELT2peak02678","L3-high",1.40121341191108,"ELT2peak02678","WBGene00009146",9895538,9897351,"+","inside",-248,378,"Overlapping"
"ELT2peak02679",1.33787,1.670295,1.9855,2.226508,2.032422,2.669852,1,0,0,187,4,10,"0.963","1.000","1.504","2.106","2.351","-1.108","0.273","0.835","ELT2peak02679","Increasing",0.18998350097025,"ELT2peak02679","WBGene00007329",9922248,9930830,"+","overlapStart",-4809,54,"Overlapping"
"ELT2peak02680",2.084889,1.93587,3.43296,3.634593,3.686925,3.92139,0,1,1,30.75,4,8,"0.774","1.000","2.010","3.534","3.804","-1.143","0.432","0.711","ELT2peak02680","Increasing",0.935247303009,"ELT2peak02680","WBGene00007331",9931845,9934443,"+","overlapStart",-1367,285,"Overlapping"
"ELT2peak02681",0.910448,1.358454,2.526069,2.526069,4.432352,4.757314,0,0,1,0.5,4,11,"0.614","1.000","1.134","2.526","4.595","-0.929","-0.130","1.058","ELT2peak02681","Increasing",3.03177145525733,"ELT2peak02681","WBGene00007331",9931845,9934443,"+","overlapEnd",1134,280,"Overlapping"
"ELT2peak02682",2.745954,2.712718,3.735522,3.773996,6.695387,7.022367,1,1,1,184.111111111318,3,9,"0.796","1.000","2.729","3.755","6.859","-0.799","-0.322","1.121","ELT2peak02682","L3-high",4.62335829292233,"ELT2peak02682","WBGene00007330",9934403,9936893,"-","inside",-36,403,"Overlapping"
"ELT2peak02683",2.070389,2.415038,3.080658,3.169925,5.590417,6.193414,1,0,1,13.875,3,9,"0.811","1.000","2.243","3.125","5.892","-0.793","-0.330","1.123","ELT2peak02683","L3-high",3.62497125337733,"ELT2peak02683","WBGene00007330",9934403,9936893,"-","overlapStart",-1428,106,"Overlapping"
"ELT2peak02685",2.290564,2.556393,2.634593,2.456806,3.184425,3.184425,1,0,1,18.75,3,9,"0.946","1.000","2.423","2.546","3.184","-0.720","-0.421","1.142","ELT2peak02685","L3-high",0.166991302175583,"ELT2peak02685","WBGene00007333",9940758,9944006,"+","overlapStart",-1694,278,"Overlapping"
"ELT2peak02686",1.029747,0.66015,2.333424,2.111031,2.669851,3.184424,0,0,1,1,4,10,"0.993","1.000","0.845","2.222","2.927","-1.089","0.212","0.877","ELT2peak02686","Increasing",1.121551097277,"ELT2peak02686","WBGene00011272",9962966,9967132,"-","inside",1148,583,"Overlapping"
"ELT2peak02687",1.485427,1.559427,2.695994,2.9855,3.617384,3.386058,0,0,1,84,4,10,"0.991","1.000","1.522","2.841","3.502","-1.091","0.217","0.873","ELT2peak02687","Increasing",1.01540983158533,"ELT2peak02687","WBGene00011272",9962966,9967132,"-","overlapStart",-2303,311,"Overlapping"
"ELT2peak02688",2.106915,2.490325,2.526069,1.9855,2.110424,3.166277,0,0,1,5,0,0,"0.000","0.000","2.299","2.256","2.638","-0.472","-0.677","1.149","ELT2peak02688","Not-changing or not IDR-passing",0.0439347395077501,"ELT2peak02688","WBGene00011275",9968659,9969631,"+","overlapStart",-626,108,"Overlapping"
"ELT2peak02689",1.774933,2.031709,2.526069,2.613532,2.562936,3.669851,1,0,1,121.25,4,10,"0.953","1.000","1.903","2.570","3.116","-1.031","0.066","0.965","ELT2peak02689","Increasing",0.369083953637583,"ELT2peak02689","WBGene00011274",9969620,9970515,"-","overlapStart",-788,200,"Overlapping"
"ELT2peak02690",3.382857,2.90689,4.634593,4.655352,5.548997,5.868121,1,1,1,11.3333333333333,4,10,"0.984","1.000","3.145","4.645","5.709","-1.052","0.113","0.939","ELT2peak02690","Increasing",1.65899943261558,"ELT2peak02690","WBGene00011276",9971035,9975125,"-","inside",-1302,464,"Overlapping"
