geneSym,geneID,refID,chrom,strand,Unsorted (RPM),Sorted (RPM),P-value,Group 1
F45F2.1,185805,otpl-4,chrV,+,0.11,1.27,5.49E-03,Sorted
F47C12.3,185916,srh-223,chrIV,+,0.11,1.27,5.49E-03,Sorted
F59A3.9,172207,pup-3,chrI,-,0.11,1.27,5.49E-03,Sorted
F59E12.10,173954,ddl-1,chrII,-,0.11,1.27,5.49E-03,Sorted
H01M10.2,186664,H01M10.2,chrX,-,0.11,1.27,5.49E-03,Sorted
K01A2.7,186819,col-69,chrII,-,0.11,1.27,5.49E-03,Sorted
R11G11.2,178573,nhr-58,chrV,+,0.11,1.27,5.49E-03,Sorted
T06G6.4,173140,T06G6.4,chrI,-,0.11,1.27,5.49E-03,Sorted
W03B1.5,189144,W03B1.5,chrIV,+,0.11,1.27,5.49E-03,Sorted
W05B10.4,179736,W05B10.4,chrV,+,0.11,1.27,5.49E-03,Sorted
Y110A2AL.1,190934,Y110A2AL.1,chrII,+,0.11,1.27,5.49E-03,Sorted
Y116F11B.9,191021,Y116F11B.9,chrV,-,0.11,1.27,5.49E-03,Sorted
Y47G6A.19,171921,carboxypeptidase,chrI,-,0.11,1.27,5.49E-03,Sorted
Y53F4B.1,190206,Y53F4B.1,chrII,-,0.11,1.27,5.49E-03,Sorted
Y55F3AR.1,176930,Y55F3AR.1,chrIV,+,0.11,1.27,5.49E-03,Sorted
Y71G12B.32,3565893,Y71G12B.32,chrI,-,0.11,1.27,5.49E-03,Sorted
Y75B8A.21,190708,fbxa-89,chrIII,+,0.11,1.27,5.49E-03,Sorted
ZK678.3,191393,ZK678.3,chrX,-,0.11,1.27,5.49E-03,Sorted
F14H12.2,184502,F14H12.2,chrX,+,1.41,3.61,5.63E-03,Sorted
M01E5.2,173192,M01E5.2,chrI,-,1.41,3.61,5.63E-03,Sorted
T26E3.3,173137,par-6,chrI,+,1.41,3.61,5.63E-03,Sorted
F09E5.17,173908,bmy-1,chrII,+,2.60,5.31,5.72E-03,Sorted
Y38F2AL.6,177020,Y38F2AL.6,chrIV,-,0.97,2.97,5.78E-03,Sorted
Y71H2AR.2,190615,Y71H2AR.2,chrIII,-,0.97,2.97,5.78E-03,Sorted
ZC395.4,191151,ZC395.4,chrIII,+,0.97,2.97,5.78E-03,Sorted
C18B12.6,181597,C18B12.6,chrX,-,0.76,2.55,5.83E-03,Sorted
K09E2.4,181115,rig-1,chrX,+,0.76,2.55,5.83E-03,Sorted
R05D11.7,172652,R05D11.7,chrI,+,0.76,2.55,5.83E-03,Sorted
Y17G7B.2,174838,ash-2,chrII,+,0.76,2.55,5.83E-03,Sorted
C54F6.10,179136,str-31,chrV,-,2.38,5.10,6.42E-03,Sorted
F44A6.4,185724,F44A6.4,chrX,-,2.38,5.10,6.42E-03,Sorted
R74.2,175539,R74.2,chrIII,+,2.38,5.10,6.42E-03,Sorted
Y59A8B.26,6418809,Y59A8B.26,chrV,-,2.38,5.10,6.42E-03,Sorted
C30E1.2,183045,C30E1.2,chrX,+,0.22,1.49,6.47E-03,Sorted
C33G3.6,181518,C33G3.6,chrX,-,0.22,1.49,6.47E-03,Sorted
F11G11.3,173841,gst-6,chrII,+,0.22,1.49,6.47E-03,Sorted
F12F3.1,179003,exp-2,chrV,+,0.22,1.49,6.47E-03,Sorted
F33H2.8,185238,F33H2.8,chrI,-,0.22,1.49,6.47E-03,Sorted
F37H8.2,185431,F37H8.2,chrII,-,0.22,1.49,6.47E-03,Sorted
F55G1.15,186329,F55G1.15,chrIV,-,0.22,1.49,6.47E-03,Sorted
T01B11.7,177649,oat-1,chrIV,-,0.22,1.49,6.47E-03,Sorted
W07A12.7,174455,rhy-1,chrII,+,0.22,1.49,6.47E-03,Sorted
Y111B2A.1,190948,Y111B2A.1,chrIII,-,0.22,1.49,6.47E-03,Sorted
Y39A3CR.8,189729,Y39A3CR.8,chrIII,-,0.22,1.49,6.47E-03,Sorted
Y48A6B.6,190011,Y48A6B.6,chrIII,+,0.22,1.49,6.47E-03,Sorted
Y52E8A.4,190188,Y52E8A.4,chrII,-,0.22,1.49,6.47E-03,Sorted
Y77E11A.2,176954,Y77E11A.2,chrIV,+,0.22,1.49,6.47E-03,Sorted
ZK616.3,191360,ZK616.3,chrIV,+,0.22,1.49,6.47E-03,Sorted
ZK938.2,174540,ZK938.2,chrII,-,0.22,1.49,6.47E-03,Sorted
B0286.1,173774,B0286.1,chrII,+,0.43,1.91,6.58E-03,Sorted
F18F11.5,3565236,F18F11.5,chrIV,+,0.43,1.91,6.58E-03,Sorted
F35C11.4,185272,F35C11.4,chrII,+,0.43,1.91,6.58E-03,Sorted
R05D8.6,187607,srg-58,chrV,-,0.43,1.91,6.58E-03,Sorted
Y57G7A.2,173508,Y57G7A.2,chrII,+,0.43,1.91,6.58E-03,Sorted
C06A12.4,191654,gcy-27,chrIV,-,0.32,1.70,6.73E-03,Sorted
C09F5.3,182454,C09F5.3,chrIII,-,0.32,1.70,6.73E-03,Sorted
C18H9.8,174102,ift-74,chrII,+,0.32,1.70,6.73E-03,Sorted
F08D12.6,184177,fbxb-108,chrII,+,0.32,1.70,6.73E-03,Sorted
F53A3.4,175335,pqn-41,chrIII,+,0.32,1.70,6.73E-03,Sorted
K07A9.4,259553,K07A9.4,chrIV,+,0.32,1.70,6.73E-03,Sorted
T01G6.5,187963,nhr-211,chrV,+,0.32,1.70,6.73E-03,Sorted
T07H3.2,188248,bath-46,chrII,+,0.32,1.70,6.73E-03,Sorted
T17A3.8,188569,ver-2,chrIII,-,0.32,1.70,6.73E-03,Sorted
W03H9.3,3565086,W03H9.3,chrII,-,0.32,1.70,6.73E-03,Sorted
Y51H7C.4,190175,Y51H7C.4,chrII,+,0.32,1.70,6.73E-03,Sorted
Y6B3B.7,189369,Y6B3B.7,chrI,+,0.32,1.70,6.73E-03,Sorted
ZK1290.14,3564816,ZK1290.14,chrII,-,0.32,1.70,6.73E-03,Sorted
ZK185.3,177220,ZK185.3,chrIV,-,0.32,1.70,6.73E-03,Sorted
F39C12.1,180759,F39C12.1,chrX,-,1.52,3.82,6.75E-03,Sorted
C23F12.3,182811,C23F12.3,chrX,+,0.65,2.34,7.12E-03,Sorted
D1025.1,181547,D1025.1,chrX,+,0.65,2.34,7.12E-03,Sorted
F02D8.4,179994,carboxypeptidase,chrV,+,0.65,2.34,7.12E-03,Sorted
F42H10.6,176198,F42H10.6,chrIII,-,0.65,2.34,7.12E-03,Sorted
K10C3.5,172838,K10C3.5,chrI,+,0.65,2.34,7.12E-03,Sorted
R07B7.12,187659,R07B7.12,chrV,+,0.65,2.34,7.12E-03,Sorted
T10C6.10,180071,T10C6.10,chrV,+,0.65,2.34,7.12E-03,Sorted
T12G3.8,178142,"beta-1,3-galactosyltransferase",chrIV,-,0.65,2.34,7.12E-03,Sorted
Y113G7B.18,180325,mdt-17,chrV,-,0.65,2.34,7.12E-03,Sorted
Y56A3A.13,176628,nft-1,chrIII,+,0.65,2.34,7.12E-03,Sorted
Y70C5C.2,190567,clec-9,chrV,-,0.65,2.34,7.12E-03,Sorted
Y71H2AM.19,190611,Y71H2AM.19,chrIII,-,0.65,2.34,7.12E-03,Sorted
ZK1055.4,191513,ZK1055.4,chrV,+,0.65,2.34,7.12E-03,Sorted
ZK524.1,172498,spe-4,chrI,+,0.65,2.34,7.12E-03,Sorted
F56G4.1,173024,oac-34,chrI,-,1.84,4.25,7.19E-03,Sorted
Y92H12BR.2,171706,Y92H12BR.2,chrI,-,1.84,4.25,7.19E-03,Sorted
F35C5.7,185264,clec-64,chrII,+,1.30,3.40,7.28E-03,Sorted
T02C1.2,176306,T02C1.2,chrIII,+,1.30,3.40,7.28E-03,Sorted
W05H7.2,189228,W05H7.2,chrX,+,1.30,3.40,7.28E-03,Sorted
Y17G7B.20,174837,Y17G7B.20,chrII,-,1.30,3.40,7.28E-03,Sorted
F32H5.3,179816,F32H5.3,chrV,+,2.49,5.10,7.34E-03,Sorted
T07A9.2,176860,ers-3,chrIV,-,2.49,5.10,7.34E-03,Sorted
C28D4.1,177806,nhr-100,chrIV,+,0.87,2.76,7.92E-03,Sorted
F58E6.4,186524,F58E6.4,chrV,-,0.87,2.76,7.92E-03,Sorted
R05A10.1,178372,R05A10.1,chrIV,+,0.87,2.76,7.92E-03,Sorted
Y42A5A.5,3565757,Y42A5A.5,chrV,-,0.87,2.76,7.92E-03,Sorted
ZK1067.6,174461,sym-2,chrII,-,0.87,2.76,7.92E-03,Sorted
F16H6.1,180189,clec-42,chrV,+,1.08,2.97,8.18E-03,Sorted
F25C8.3,180374,unc-80,chrV,+,1.08,2.97,8.18E-03,Sorted
R10D12.8,259659,R10D12.8,chrV,-,1.08,2.97,8.18E-03,Sorted
T21B6.1,181283,dgn-1,chrX,-,1.08,2.97,8.18E-03,Sorted
C15H11.8,182648,C15H11.8,chrV,-,1.62,3.82,8.22E-03,Sorted
F08F8.2,176047,F08F8.2,chrIII,+,1.62,3.82,8.22E-03,Sorted
Y69E1A.5,190551,Y69E1A.5,chrIV,-,1.62,3.82,8.22E-03,Sorted
C01G6.2,174468,C01G6.2,chrII,+,1.95,4.25,8.73E-03,Sorted
C07H4.1,174448,C07H4.1,chrII,-,1.95,4.25,8.73E-03,Sorted
F44C8.11,178703,nhr-96,chrV,+,1.95,4.25,8.73E-03,Sorted
T22A3.2,188710,hsp-12.1,chrI,-,1.95,4.25,8.73E-03,Sorted
B0047.1,181824,bath-20,chrII,-,0.54,2.12,9.25E-03,Sorted
C13A2.4,182552,C13A2.4,chrV,+,0.54,2.12,9.25E-03,Sorted
F02E8.3,184091,aps-2,chrX,+,0.54,2.12,9.25E-03,Sorted
H25K10.1,186777,H25K10.1,chrIV,+,0.54,2.12,9.25E-03,Sorted
W03F9.1,189162,W03F9.1,chrV,-,0.54,2.12,9.25E-03,Sorted
C04G2.5,182233,C04G2.5,chrIV,-,1.19,3.18,9.83E-03,Sorted
C10G6.1,177352,C10G6.1,chrIV,+,1.19,3.18,9.83E-03,Sorted
T19D7.4,180416,T19D7.4,chrX,-,1.19,3.18,9.83E-03,Sorted
F41B4.3,180954,F41B4.3,chrX,-,2.06,4.46,9.89E-03,Sorted
Y105E8B.9,173326,Y105E8B.9,chrI,-,20.45,219.11,1.23E-315,Sorted
F07E5.9,184146,F07E5.9,chrII,-,15.26,204.88,1.23E-319,Sorted
T08B2.10,172313,rps-17,chrI,-,6081.93,12070.70,0.00E+00,Other
ZK892.2,191734,nlt-1,chrII,-,772.40,1531.85,0.00E+00,Other
T24C4.4,188845,T24C4.4,chrIII,-,1189.18,2268.58,0.00E+00,Other
K11H12.2,176891,rpl-15,chrIV,-,2182.36,4008.49,0.00E+00,Other
F35C5.6,174927,clec-63,chrII,+,1495.13,2742.68,0.00E+00,Other
C28C12.5,177652,spp-8,chrIV,+,1675.97,2735.24,0.00E+00,Other
T25C8.2,176793,act-5,chrIII,-,5295.24,8210.19,0.00E+00,Other
C56C10.3,174091,vps-32.1,chrII,+,2086.04,3028.24,0.00E+00,Other
F42C5.8,177503,rps-8,chrIV,-,8276.08,11289.17,0.00E+00,Other
Y37E3.7,171766,rla-1,chrI,-,14479.44,17493.42,0.00E+00,Other
T07A9.11,176858,rps-24,chrIV,+,11396.21,7864.97,0.00E+00,Other
C06B8.8,180044,rpl-38,chrV,+,13995.67,9346.07,0.00E+00,Other
Y41E3.10,178419,Y41E3.10,chrIV,+,6819.91,4505.10,0.00E+00,Other
F25H2.5,172939,F25H2.5,chrI,-,5461.69,3421.87,0.00E+00,Other
Y48B6A.2,175070,rpl-43,chrII,+,3329.65,1935.88,0.00E+00,Other
B0336.10,175796,rpl-23,chrIII,-,12515.15,7192.36,0.00E+00,Other
K03B4.3,3564983,taf-10,chrV,+,4129.00,2344.59,0.00E+00,Other
Y37E3.8,171767,Y37E3.8,chrI,-,6095.45,3231.85,0.00E+00,Other
F54C9.5,174371,rpl-5,chrII,+,4387.01,2293.42,0.00E+00,Other
K10C2.4,180918,fumarylacetoacetase,chrX,-,604.55,1137.58,5.07E-295,Other
T05G5.10,176373,iff-1,chrIII,-,1951.08,1037.37,7.66E-285,Other
Y22F5A.6,179430,lys-3,chrV,-,475.54,931.00,1.06E-264,Other
C14B9.7,176146,rpl-21,chrIII,-,2941.56,1812.95,5.45E-251,Other
C09F12.1,181293,clc-1,chrX,+,932.25,1479.19,3.01E-239,Other
F49E11.10,178251,scl-2,chrIV,+,1600.32,2262.21,4.11E-238,Other
F53F1.5,179823,cuticlin,chrV,+,2346.75,1389.17,1.12E-236,Other
R107.7,176281,gst-1,chrIII,+,1070.45,1637.58,4.57E-234,Other
F39B2.6,173342,rps-26,chrI,+,4292.64,2909.55,5.92E-227,Other
ZK20.5,174786,rpn-12,chrII,+,1454.87,772.40,9.18E-214,Other
F52E1.1,179224,pos-1,chrV,+,3483.66,2299.36,1.04E-213,Other
F44C4.3,179053,cpr-4,chrV,+,782.14,1252.23,8.24E-209,Other
T12G3.1,178139,T12G3.1,chrIV,+,991.67,1496.82,3.76E-204,Other
F28D1.7,178188,rps-23,chrIV,-,2658.23,1684.08,1.62E-200,Other
F15A2.1,181470,col-184,chrX,+,1134.52,578.34,6.53E-188,Other
F28C6.7,174379,rpl-26,chrII,+,1157.79,597.03,1.17E-185,Other
F13B10.2,175501,rpl-3,chrIII,+,1321.75,1832.91,7.62E-178,Other
T18H9.2,179302,asp-2,chrV,+,347.08,660.51,1.02E-176,Other
F21F8.3,179211,asp-5,chrV,+,6623.16,7411.25,2.52E-176,Other
T21H3.1,178615,T21H3.1,chrV,+,1451.95,1967.52,1.46E-171,Other
Y37D8A.19,176711,Y37D8A.19,chrIII,+,990.91,504.88,1.21E-164,Other
Y57E12AL.1,179093,Y57E12AL.1,chrV,+,294.26,571.13,5.77E-160,Other
F25H2.9,172942,pas-5,chrI,+,272.62,536.73,2.49E-155,Other
F49E12.2,186056,dod-23,chrII,-,312.12,583.86,2.76E-150,Other
Y25C1A.7,173654,Y25C1A.7,chrII,-,2050.54,1307.86,3.35E-150,Other
R151.3,176015,rpl-6,chrIII,+,1574.03,946.92,2.21E-149,Other
T20D3.2,177760,T20D3.2,chrIV,-,320.78,594.06,3.62E-149,Other
Y39A1C.3,176516,cey-4,chrIII,-,1052.06,569.21,2.79E-146,Other
E04A4.8,3565264,rpl-20,chrIV,-,2272.73,1493.63,3.81E-143,Other
R08E5.2,259617,R08E5.2,chrV,-,243.18,482.80,1.85E-142,Other
B0361.7,176030,B0361.7,chrIII,-,983.55,525.69,3.77E-142,Other
T27E9.1,176773,ant-1.1,chrIII,+,1840.26,1161.57,1.03E-141,Other
B0365.3,179796,eat-6,chrV,-,548.59,868.15,5.60E-140,Other
B0280.5,175991,cpg-2,chrIII,-,1082.25,599.79,3.17E-139,Other
F07D10.1,180535,rpl-11.2,chrX,-,453.14,744.16,5.90E-135,Other
K02B2.5,177365,rps-25,chrIV,-,4062.55,2953.08,8.01E-135,Other
T15B7.2,188513,T15B7.2,chrV,+,498.70,798.51,7.75E-134,Other
F09C8.1,181691,F09C8.1,chrX,-,350.11,606.58,1.51E-128,Other
Y62E10A.1,178297,rla-2,chrIV,-,1698.27,1078.98,5.66E-127,Other
C13B4.2,175105,usp-14,chrII,-,1133.87,657.11,8.15E-125,Other
Y62H9A.5,181364,Y62H9A.5,chrX,-,1356.39,1761.57,3.15E-124,Other
ZK970.7,191473,ZK970.7,chrII,+,846.86,451.17,7.30E-124,Other
F49C12.12,177755,F49C12.12,chrIV,-,1180.95,1563.69,4.22E-122,Other
H06O01.1,172433,pdi-3,chrI,-,5602.06,4276.86,1.49E-121,Other
F33D11.9,172256,F33D11.9,chrI,-,1263.31,758.17,2.05E-121,Other
C01B10.6,177432,C01B10.6,chrIV,+,1164.29,1543.31,3.17E-121,Other
D1007.6,172061,rps-10,chrI,-,1301.52,798.73,4.46E-114,Other
F09G2.9,179106,F09G2.9,chrV,-,1179.22,708.70,8.60E-113,Other
C23G10.3,175879,rps-3,chrIII,+,692.32,356.69,4.83E-112,Other
W05F2.3,171908,W05F2.3,chrI,-,1033.77,602.97,3.20E-111,Other
F30B5.1,177187,dpy-13,chrIV,+,734.42,388.32,4.27E-110,Other
F53A3.3,175338,rps-22,chrIII,+,1600.22,1038.22,3.64E-108,Other
ZK813.3,180634,ZK813.3,chrX,+,1102.60,661.57,2.66E-106,Other
M01F1.3,3564813,M01F1.3,chrIII,-,1843.72,1235.46,6.48E-105,Other
ZC513.8,179187,col-43,chrV,-,868.51,493.21,2.94E-103,Other
C04G2.9,177878,C04G2.9,chrIV,+,1880.63,1270.28,2.79E-102,Other
K09F5.3,181032,spp-14,chrX,+,856.17,1158.81,3.26E-101,Other
F53G12.10,171602,rpl-7,chrI,+,1237.12,776.43,2.66E-98,Other
F36A2.6,172693,rps-15,chrI,-,2555.19,1831.00,7.32E-95,Other
F47B10.1,181280,F47B10.1,chrX,-,574.89,295.54,6.97E-94,Other
ZK1320.2,174520,ZK1320.2,chrII,-,456.71,684.71,4.25E-92,Other
K03A1.2,180991,K03A1.2,chrX,+,160.39,312.95,1.48E-89,Other
T21B4.2,188672,col-85,chrII,-,264.29,446.28,1.35E-88,Other
Y63D3A.5,173277,tfg-1,chrI,+,157.68,307.86,3.18E-88,Other
B0513.3,178352,rpl-29,chrIV,+,4194.26,4584.08,2.09E-85,Other
Y71F9AL.13,171853,rpl-1,chrI,-,1389.50,919.32,4.02E-85,Other
F54D7.6,NA,NA,chrI,+,472.51,691.72,4.23E-85,Other
T07C4.1,176453,umps-1,chrIII,-,563.96,300.00,1.84E-83,Other
C09G4.3,177658,cks-1,chrIV,+,517.32,267.94,6.51E-83,Other
C29A12.3,179502,lig-1,chrV,+,472.40,240.76,2.48E-79,Other
EEED8.7,173915,rsp-4,chrII,-,675.43,386.62,2.03E-78,Other
R12H7.2,181444,asp-4,chrX,-,198.27,349.47,2.83E-78,Other
ZK1307.8,174515,ZK1307.8,chrII,+,244.70,407.86,4.32E-78,Other
C06E7.3,177354,C06E7.3,chrIV,-,447.62,225.69,1.65E-77,Other
C25A1.9,172886,rsa-1,chrI,+,740.48,438.64,1.15E-75,Other
H34I24.2,175401,H34I24.2,chrIII,+,1207.14,1481.74,2.94E-75,Other
C25A1.8,172885,clec-87,chrI,-,781.71,470.06,3.57E-75,Other
ZK666.6,191384,clec-60,chrII,-,655.09,878.77,5.01E-74,Other
C16C10.11,175529,har-1,chrIII,+,460.82,240.34,1.53E-72,Other
C07A12.7,180723,C07A12.7,chrX,-,197.29,340.76,2.48E-72,Other
C42D8.2,180781,vit-2,chrX,+,2306.06,1696.18,1.87E-70,Other
F59G1.1,174001,cgt-3,chrII,+,153.46,281.95,2.18E-70,Other
C49C3.4,178513,C49C3.4,chrIV,+,213.31,358.17,2.96E-70,Other
Y37D8A.10,176703,Y37D8A.10,chrIII,+,665.91,393.84,1.36E-68,Other
C18D11.4,176613,rsp-8,chrIII,+,482.47,262.00,2.75E-67,Other
W02D9.7,173126,W02D9.7,chrI,-,614.18,358.81,2.12E-66,Other
C28C12.7,177651,spp-10,chrIV,+,784.09,487.47,1.17E-65,Other
T10B5.7,178665,lipase,chrV,+,173.05,301.27,1.34E-65,Other
F27C8.4,185015,spp-18,chrIV,+,267.86,417.83,3.45E-65,Other
R13A5.8,176071,rpl-9,chrIII,-,1314.72,903.40,3.53E-65,Other
F27C1.2,172196,F27C1.2,chrI,+,117.86,228.24,1.10E-64,Other
C06H2.1,179541,atp-5,chrV,-,931.28,604.03,8.79E-64,Other
T05H10.5,174295,ufd-2,chrII,+,620.56,369.00,8.85E-63,Other
T05E11.1,178012,rps-5,chrIV,-,9449.89,7887.26,8.88E-63,Other
JC8.14,4363063,ttr-45,chrIV,+,769.91,979.41,2.22E-62,Other
F23H12.4,179693,sqt-3,chrV,+,1390.04,973.04,2.88E-61,Other
C29F4.1,178029,col-125,chrIV,+,371.32,191.08,4.06E-61,Other
F15C11.2,172434,F15C11.2,chrI,+,484.09,271.97,1.78E-60,Other
T28C6.4,177694,col-117,chrIV,-,471.97,263.69,4.19E-60,Other
K07H8.6,177619,vit-6,chrIV,+,2580.95,1959.02,5.17E-60,Other
F31D4.3,180371,fkb-6,chrV,+,685.39,422.72,1.26E-59,Other
C05B5.8,259334,C05B5.8,chrIII,-,386.36,203.40,1.62E-59,Other
Y48G8AL.13,171699,Y48G8AL.13,chrI,-,98.92,196.60,3.08E-59,Other
F42G8.12,177609,isp-1,chrIV,-,1048.92,705.52,3.46E-59,Other
R12E2.11,172008,R12E2.11,chrI,-,312.23,460.93,3.57E-59,Other
K04G2.1,172584,iftb-1,chrI,-,338.20,171.13,2.01E-58,Other
F13G11.3,4927009,F13G11.3,chrIV,+,479.55,272.19,7.42E-58,Other
T13F2.1,177819,fat-4,chrIV,+,361.36,188.75,5.27E-57,Other
F01G4.6,178020,F01G4.6,chrIV,-,328.46,475.37,1.50E-56,Other
R11F4.1,173747,R11F4.1,chrII,+,150.76,261.36,1.89E-56,Other
Y71F9B.3,171835,yop-1,chrI,+,827.49,538.22,4.94E-56,Other
M02D8.4,181121,M02D8.4,chrX,-,148.81,257.96,7.94E-56,Other
ZK813.7,6418876,ZK813.7,chrX,+,399.68,217.41,9.76E-56,Other
F36H1.1,191634,fkb-1,chrIV,+,190.48,309.77,1.23E-55,Other
C50B6.4,179812,col-161,chrV,-,415.26,229.09,2.66E-55,Other
Y48E1B.16,175003,clec-145,chrII,-,942.75,630.79,6.90E-55,Other
Y71F9AM.6,171865,trap-1,chrI,+,92.64,183.23,9.37E-55,Other
R05H5.3,174582,thioredoxin,chrII,+,2547.94,1952.23,3.36E-54,Other
Y41E3.2,178414,dpy-4,chrIV,-,385.93,211.04,5.23E-53,Other
Y65B4BR.5,171646,Y65B4BR.5,chrI,+,822.62,541.19,1.22E-52,Other
F28D9.1,173013,rsr-1,chrI,-,304.98,154.78,1.86E-52,Other
R01H2.6,175985,ubc-18,chrIII,-,461.04,267.09,7.56E-52,Other
T11F8.3,177329,rme-2,chrIV,+,306.28,157.11,3.68E-51,Other
F26E4.11,172833,hrdl-1,chrI,+,143.51,245.01,5.72E-51,Other
T04C12.4,179533,act-3,chrV,-,1782.14,1322.72,5.82E-51,Other
R173.1,180972,cah-5,chrX,+,162.66,268.79,7.49E-51,Other
F09E5.15,266858,prdx-2,chrII,+,435.06,249.47,8.56E-51,Other
Y71A12B.1,173260,rps-6,chrI,+,419.81,238.43,8.76E-51,Other
K11D12.2,178893,pqn-51,chrV,+,185.71,295.12,1.81E-49,Other
K08D12.4,187157,K08D12.4,chrIV,+,323.16,171.13,3.14E-49,Other
W03C9.5,174835,W03C9.5,chrII,-,121.97,214.65,1.45E-48,Other
T22E5.5,180914,mup-2,chrX,-,958.77,657.75,1.99E-48,Other
F23F1.10,3565165,F23F1.10,chrII,-,140.26,237.15,4.96E-48,Other
C09H10.2,174695,rpl-41,chrII,-,735.50,905.94,1.06E-47,Other
F57B9.6,175966,inf-1,chrIII,+,293.07,152.23,2.33E-47,Other
R09B3.3,173071,R09B3.3,chrI,-,350.54,192.99,2.75E-47,Other
T24F1.1,174726,raga-1,chrII,+,280.84,144.16,5.80E-47,Other
D2024.6,177497,cap-1,chrIV,-,371.21,208.49,7.67E-47,Other
F02A9.3,176284,far-2,chrIII,+,301.19,159.02,2.10E-46,Other
C53A5.1,179958,ril-1,chrV,-,859.20,583.65,3.74E-46,Other
ZC410.5,177728,ZC410.5,chrIV,+,411.36,239.07,6.56E-46,Other
F26F4.10,175659,rrt-1,chrIII,-,252.27,367.73,2.26E-45,Other
C07G2.3,175588,cct-5,chrIII,-,163.85,262.63,2.41E-45,Other
T06D8.8,174715,rpn-9,chrII,-,356.06,200.00,6.29E-45,Other
C23H3.4,173389,sptl-1,chrII,+,272.40,389.38,2.01E-44,Other
C09D4.5,172201,rpl-19,chrI,-,743.83,905.73,2.76E-44,Other
C25B8.3,180931,cpr-6,chrX,+,137.99,228.87,5.26E-44,Other
ZK154.4,181037,ZK154.4,chrX,-,95.45,174.73,6.23E-44,Other
Y49E10.6,176660,his-72,chrIII,-,2358.44,2554.35,1.52E-43,Other
C24G6.8,178937,C24G6.8,chrV,-,374.46,215.29,1.57E-43,Other
B0240.4,179607,npp-22,chrV,-,629.44,408.92,2.65E-43,Other
K06A4.7,259638,K06A4.7,chrV,-,72.29,143.10,3.21E-43,Other
ZK418.9,175989,ZK418.9,chrIII,-,439.18,264.33,7.92E-43,Other
T08A9.7,180993,spp-3,chrX,-,740.48,896.60,2.77E-42,Other
W01A11.4,179034,lec-10,chrV,-,268.94,381.10,4.94E-42,Other
F42A10.5,175872,F42A10.5,chrIII,-,305.74,422.72,8.38E-42,Other
F46H5.2,180989,F46H5.2,chrX,+,77.92,148.62,2.39E-41,Other
Y54E10A.4,171895,fog-1,chrI,+,249.46,128.87,3.51E-41,Other
M7.1,178006,let-70,chrIV,-,476.52,295.54,6.03E-41,Other
Y47G6A.15,189995,Y47G6A.15,chrI,-,599.13,390.02,7.17E-41,Other
ZK632.10,176395,ZK632.10,chrIII,-,683.33,830.79,2.20E-40,Other
Y106G6H.5,172922,Y106G6H.5,chrI,-,289.61,158.39,3.42E-40,Other
R10D12.13,179891,R10D12.13,chrV,+,436.26,266.88,7.04E-40,Other
C34F6.2,181307,col-178,chrX,+,421.21,255.63,7.83E-40,Other
C08B11.1,174284,zyg-11,chrII,+,257.03,135.67,7.90E-40,Other
Y71H10A.2,180582,Y71H10A.2,chrX,+,110.82,188.54,3.38E-39,Other
F52A8.1,172482,F52A8.1,chrI,+,184.20,277.71,3.42E-39,Other
Y119D3B.21,246006,Y119D3B.21,chrIII,+,76.19,143.52,6.89E-39,Other
W04D2.6,259655,W04D2.6,chrV,+,91.45,163.27,1.06E-38,Other
F46H6.2,180720,dgk-2,chrX,-,69.81,134.61,1.53E-38,Other
F54D7.7,NA,NA,chrI,+,1615.15,1783.23,4.25E-38,Other
K12H4.7,176136,K12H4.7,chrIII,-,157.03,243.52,5.78E-38,Other
F56H9.2,179730,F56H9.2,chrV,+,329.00,190.02,7.23E-38,Other
F21F3.3,172106,F21F3.3,chrI,+,430.41,551.17,3.81E-37,Other
F21D5.5,177681,F21D5.5,chrIV,-,610.71,744.80,4.12E-37,Other
C45G7.2,183475,ilys-2,chrIV,+,178.79,267.30,1.04E-36,Other
F46F11.2,172219,cey-2,chrI,+,335.28,196.39,1.11E-36,Other
T28D9.1,174074,T28D9.1,chrII,+,203.90,296.60,1.16E-36,Other
T05C3.5,3565862,dnj-19,chrV,-,81.60,147.98,1.17E-36,Other
ZK863.4,179670,ZK863.4,chrV,-,213.85,109.98,5.96E-36,Other
ZK1251.2,191688,ins-7,chrIV,-,106.49,178.56,8.55E-36,Other
R07H5.2,178025,cpt-2,chrIV,+,59.20,116.99,1.44E-35,Other
Y54G2A.39,3565458,clec-80,chrIV,+,673.70,807.01,1.64E-35,Other
Y75B12B.4,190718,bath-36,chrV,+,664.61,453.93,6.07E-35,Other
T24H10.6,188872,dyrb-1,chrII,-,83.87,148.62,8.35E-35,Other
ZK970.4,174596,vha-9,chrII,-,362.88,470.49,3.94E-34,Other
F56H1.4,172238,rpt-5,chrI,-,190.48,96.18,7.96E-34,Other
F43H9.4,179182,F43H9.4,chrV,+,56.82,111.89,8.61E-34,Other
F46G10.2,181454,F46G10.2,chrX,+,88.96,153.08,3.69E-33,Other
CD4.6,178943,pas-6,chrV,-,1023.59,750.32,4.69E-33,Other
F57B10.12,172374,mei-2,chrI,-,188.64,95.75,5.18E-33,Other
W04E12.8,180299,clec-50,chrV,-,230.63,320.81,5.79E-33,Other
C25A1.10,266845,dao-5,chrI,-,703.14,830.15,7.09E-33,Other
