comparison	ID	cosmid_id	gene	AveExpr	t	P_Value	adj_P_Val	B	FC
LE-intestine_up_vs_LE-reference	WBGene00007660	C17H1.7	C17H1.7	8.19	6.34	0	0	9	4.72
LE-intestine_up_vs_LE-reference	WBGene00008178	C48D1.5	C48D1.5	7.16	6.33	0	0	8.95	3.27
LE-intestine_up_vs_LE-reference	WBGene00000984	R11D1.11	dhs-21	9.52	6.32	0	0	8.91	4.67
LE-intestine_up_vs_LE-reference	WBGene00009274	F30F8.5	F30F8.5	9.32	6.3	0	0	8.84	4.8
LE-intestine_up_vs_LE-reference	WBGene00006464	T07H3.1	bath-47	8.45	6.3	0	0	8.82	2.41
LE-intestine_up_vs_LE-reference	WBGene00003813	C08B11.4	nrf-6	8.41	6.3	0	0	8.81	2.64
LE-intestine_up_vs_LE-reference	WBGene00011809	T16G12.8	T16G12.8	7.81	6.29	0	0	8.78	2.88
LE-intestine_up_vs_LE-reference	WBGene00001465	F02D10.5	flr-1	8.31	6.29	0	0	8.78	2.96
LE-intestine_up_vs_LE-reference	WBGene00011095	R07B7.11	gana-1	9.7	6.28	0	0	8.76	3.9
LE-intestine_up_vs_LE-reference	WBGene00010524	K03B8.6	K03B8.6	10.35	6.28	0	0	8.75	7.51
LE-intestine_up_vs_LE-reference	WBGene00011207	R10E8.1	R10E8.1	8.35	6.26	0	0	8.66	2.91
LE-intestine_up_vs_LE-reference	WBGene00010793	LLC1.2	LLC1.2	10.45	6.26	0	0	8.66	5.83
LE-intestine_up_vs_LE-reference	WBGene00019492	K07E3.4	K07E3.4	9.73	6.24	0	0	8.59	3.66
LE-intestine_up_vs_LE-reference	WBGene00000067	T25C8.2	act-5	11.63	6.24	0	0	8.59	4.21
LE-intestine_up_vs_LE-reference	WBGene00018877	F55D10.1	aman-1	8.96	6.23	0	0	8.55	3.56
LE-intestine_up_vs_LE-reference	WBGene00016583	C42C1.5	tag-335	10.72	6.23	0	0	8.54	3.53
LE-intestine_up_vs_LE-reference	WBGene00019803	PDB1.1	PDB1.1	9.6	6.23	0	0	8.54	5.58
LE-intestine_up_vs_LE-reference	WBGene00014251	ZK1320.1	gstk-1	10	6.23	0	0	8.53	3.69
LE-intestine_up_vs_LE-reference	WBGene00004020	EGAP2.3	pho-1	9.52	6.22	0	0	8.52	4.59
LE-intestine_up_vs_LE-reference	WBGene00015949	C18A11.3	C18A11.3	9.57	6.22	0	0	8.5	5.97
LE-intestine_up_vs_LE-reference	WBGene00001761	T26C5.1	gst-13	9.22	6.22	0	0	8.49	3.99
LE-intestine_up_vs_LE-reference	WBGene00019830	R02E12.6	R02E12.6	10.51	6.21	0	0	8.48	5.32
LE-intestine_up_vs_LE-reference	WBGene00003982	R11H6.1	pes-9	10.33	6.21	0	0	8.46	4.47
LE-intestine_up_vs_LE-reference	WBGene00009061	F22G12.1	F22G12.1	8.7	6.19	0	0	8.41	9.16
LE-intestine_up_vs_LE-reference	WBGene00010328	F59C6.11	F59C6.11	8.37	6.19	0	0	8.38	4.49
LE-intestine_up_vs_LE-reference	WBGene00017449	F14B8.7	F14B8.7	8.26	6.18	0	0	8.34	2.64
LE-intestine_up_vs_LE-reference	WBGene00012407	Y7A5A.1	Y7A5A.1	9.15	6.17	0	0	8.3	2.81
LE-intestine_up_vs_LE-reference	WBGene00045397	Y54G2A.52	Y54G2A.52	9.48	6.16	0	0	8.29	7.78
LE-intestine_up_vs_LE-reference	WBGene00020022	R12C12.1	R12C12.1	9.06	6.15	0	0	8.25	3.49
LE-intestine_up_vs_LE-reference	WBGene00012961	Y47H10A.5	Y47H10A.5	9.19	6.14	0	0	8.21	5.74
LE-intestine_up_vs_LE-reference	WBGene00008451	E01G6.3	E01G6.3	7.99	6.14	0	0	8.2	2.46
LE-intestine_up_vs_LE-reference	WBGene00009246	F29C12.4	F29C12.4	10.62	6.14	0	0	8.2	2.63
LE-intestine_up_vs_LE-reference	WBGene00018604	F48E3.3	F48E3.3	10.01	6.13	0	0	8.15	2.39
LE-intestine_up_vs_LE-reference	WBGene00015125	B0303.3	B0303.3	9.75	6.13	0	0	8.15	3.12
LE-intestine_up_vs_LE-reference	WBGene00014199	ZK1053.4	ZK1053.4	9.21	6.12	0	0	8.13	3.64
LE-intestine_up_vs_LE-reference	WBGene00017434	F13H8.1	F13H8.1	8.02	6.11	0	0	8.1	5.59
LE-intestine_up_vs_LE-reference	WBGene00008694	F11C1.5	F11C1.5	9.55	6.11	0	0	8.08	3.75
LE-intestine_up_vs_LE-reference	WBGene00022378	Y94H6A.5	Y94H6A.5	9.98	6.11	0	0	8.08	2.45
LE-intestine_up_vs_LE-reference	WBGene00011738	T12G3.2	T12G3.2	9.26	6.1	0	0	8.06	2.6
LE-intestine_up_vs_LE-reference	WBGene00000107	F54D8.3	alh-1	10.78	6.05	0	0	7.85	4.02
LE-intestine_up_vs_LE-reference	WBGene00010296	F59A1.10	F59A1.10	9.13	6.05	0	0	7.85	2.94
LE-intestine_up_vs_LE-reference	WBGene00011222	R10H10.3	R10H10.3	9.04	6.05	0	0	7.84	3.09
LE-intestine_up_vs_LE-reference	WBGene00013484	Y69H2.9	Y69H2.9	7.65	6.04	0	0	7.79	2.43
LE-intestine_up_vs_LE-reference	WBGene00011361	T01H10.8	T01H10.8	7.84	6.03	0	0	7.77	2.07
LE-intestine_up_vs_LE-reference	WBGene00019351	K03A1.2	K03A1.2	10.74	6.02	0	0	7.73	3.03
LE-intestine_up_vs_LE-reference	WBGene00003473	K11G9.6	mtl-1	11	6.01	0	0	7.68	6.13
LE-intestine_up_vs_LE-reference	WBGene00014249	ZK1307.8	ZK1307.8	11.17	6	0	0	7.65	2.61
LE-intestine_up_vs_LE-reference	WBGene00020473	T13B5.6	lips-12	7.5	5.99	0	0	7.63	2.67
LE-intestine_up_vs_LE-reference	WBGene00000931	C25A1.10	dao-5	11.72	5.99	0	0	7.62	2.29
LE-intestine_up_vs_LE-reference	WBGene00010047	F54D1.6	F54D1.6	9.94	5.99	0	0	7.61	2.81
LE-intestine_up_vs_LE-reference	WBGene00021660	Y48G1A.4	Y48G1A.4	9.87	5.98	0	0	7.57	2.24
LE-intestine_up_vs_LE-reference	WBGene00008267	C53A5.9	C53A5.9	8.19	5.98	0	0	7.56	5.55
LE-intestine_up_vs_LE-reference	WBGene00002043	C09G4.1	hyl-1	9.99	5.96	0	0	7.49	3.47
LE-intestine_up_vs_LE-reference	WBGene00001506	EGAP9.2	fut-2	8.1	5.92	0	0	7.35	3.59
LE-intestine_up_vs_LE-reference	WBGene00013905	ZC455.5	ugt-4	7.88	5.91	0	0	7.32	3.19
LE-intestine_up_vs_LE-reference	WBGene00013227	Y56A3A.6	Y56A3A.6	9.49	5.9	0	0	7.26	2.52
LE-intestine_up_vs_LE-reference	WBGene00007000	Y71H2AM.23	tufm-1	11.36	5.89	0	0	7.24	2.12
LE-intestine_up_vs_LE-reference	WBGene00001501	D1037.3	ftn-2	11.35	5.89	0	0	7.23	3.24
LE-intestine_up_vs_LE-reference	WBGene00008741	F13D12.6	F13D12.6	10.29	5.87	0	0	7.14	3.69
LE-intestine_up_vs_LE-reference	WBGene00010691	K08H2.4	K08H2.4	8.46	5.86	0	0	7.13	3.38
LE-intestine_up_vs_LE-reference	WBGene00017125	E04F6.5	E04F6.5	9.86	5.84	0	0	7.04	3.43
LE-intestine_up_vs_LE-reference	WBGene00013497	Y70D2A.2	hex-5	8.02	5.83	0	0	7	3.72
LE-intestine_up_vs_LE-reference	WBGene00000799	K04H4.6	crn-6	8.36	5.83	0	0	6.99	4.12
LE-intestine_up_vs_LE-reference	WBGene00021148	W10G11.19	W10G11.19	8.58	5.83	0	0	6.99	2.86
LE-intestine_up_vs_LE-reference	WBGene00020307	T07D3.4	T07D3.4	8.33	5.82	0	0	6.97	3.04
LE-intestine_up_vs_LE-reference	WBGene00001028	F22B7.5	dnj-10	10.38	5.82	0	0	6.96	2.62
LE-intestine_up_vs_LE-reference	WBGene00001768	Y48E1B.10	gst-20	10.55	5.82	0	0	6.96	3.55
LE-intestine_up_vs_LE-reference	WBGene00012860	Y45F3A.3	Y45F3A.3	9.94	5.82	0	0	6.94	2.31
LE-intestine_up_vs_LE-reference	WBGene00010274	F58G6.3	F58G6.3	9.17	5.8	0	0	6.87	3.87
LE-intestine_up_vs_LE-reference	WBGene00019644	K11D12.4	cpt-4	9.14	5.79	0	0	6.86	3.07
LE-intestine_up_vs_LE-reference	WBGene00016265	C30F12.6	C30F12.6	8.56	5.79	0	0	6.85	2.6
LE-intestine_up_vs_LE-reference	WBGene00007513	C10C6.5	wht-2	9.06	5.79	0	0	6.84	3.17
LE-intestine_up_vs_LE-reference	WBGene00008944	F19B2.5	F19B2.5	11.22	5.77	0	0	6.76	5.26
LE-intestine_up_vs_LE-reference	WBGene00007557	C14A4.6	C14A4.6	8.91	5.77	0	0	6.76	4.24
LE-intestine_up_vs_LE-reference	WBGene00016746	C48B6.10	C48B6.10	12.88	5.76	0	0	6.74	2.1
LE-intestine_up_vs_LE-reference	WBGene00011802	T16G1.9	T16G1.9	9.42	5.76	0	0	6.74	2.53
LE-intestine_up_vs_LE-reference	WBGene00016103	C25F6.3	dpyd-1	9.96	5.75	0	0	6.69	3.24
LE-intestine_up_vs_LE-reference	WBGene00017574	F18F11.1	F18F11.1	10.08	5.75	0	0	6.67	4.04
LE-intestine_up_vs_LE-reference	WBGene00007691	C23H4.2	C23H4.2	7.74	5.73	0	0	6.61	3
LE-intestine_up_vs_LE-reference	WBGene00009773	F46B6.8	F46B6.8	8.76	5.73	0	0	6.6	3.67
LE-intestine_up_vs_LE-reference	WBGene00017133	EEED8.2	EEED8.2	9.26	5.73	0	0	6.6	4
LE-intestine_up_vs_LE-reference	WBGene00015284	C01B10.10	C01B10.10	7.65	5.71	0	0	6.54	2.2
LE-intestine_up_vs_LE-reference	WBGene00019168	H06I04.3	H06I04.3	10.99	5.71	0	0	6.52	2.94
LE-intestine_up_vs_LE-reference	WBGene00001564	C05E4.9	gei-7	10.75	5.7	0	0	6.5	3.22
LE-intestine_up_vs_LE-reference	WBGene00010877	M05D6.4	lact-4	9.19	5.68	0	0	6.44	2.95
LE-intestine_up_vs_LE-reference	WBGene00022868	ZK1240.3	ZK1240.3	8.74	5.68	0	0	6.43	3.4
LE-intestine_up_vs_LE-reference	WBGene00006912	Y38F2AL.4	vha-3	10.38	5.68	0	0	6.42	2.65
LE-intestine_up_vs_LE-reference	WBGene00022549	ZC196.5	ZC196.5	8.32	5.66	0	0	6.35	2.88
LE-intestine_up_vs_LE-reference	WBGene00022047	Y66H1A.5	Y66H1A.5	8.74	5.66	0	0	6.35	3.59
LE-intestine_up_vs_LE-reference	WBGene00010904	M88.1	ugt-62	8.74	5.65	0	0	6.32	3.57
LE-intestine_up_vs_LE-reference	WBGene00016508	C37H5.5	C37H5.5	9.81	5.65	0	0	6.3	2.27
LE-intestine_up_vs_LE-reference	WBGene00018351	F42G2.2	F42G2.2	8.46	5.64	0	0	6.25	3.48
LE-intestine_up_vs_LE-reference	WBGene00002259	T22G5.2	lbp-7	10.54	5.63	0	0	6.23	5.34
LE-intestine_up_vs_LE-reference	WBGene00018779	F53H8.3	F53H8.3	8.22	5.63	0	0	6.22	2.38
LE-intestine_up_vs_LE-reference	WBGene00004059	C44B7.9	pmp-2	8.38	5.62	0	0	6.19	2.62
LE-intestine_up_vs_LE-reference	WBGene00015067	B0238.1	B0238.1	8.46	5.62	0	0	6.18	3.54
LE-intestine_up_vs_LE-reference	WBGene00001649	H13N06.3	gob-1	10.26	5.61	0	0	6.14	2.86
LE-intestine_up_vs_LE-reference	WBGene00002257	W02D3.7	lbp-5	11.39	5.61	0	0	6.14	4.42
LE-intestine_up_vs_LE-reference	WBGene00015752	C14B9.2	C14B9.2	11.11	5.6	0	0	6.12	2.53
LE-intestine_up_vs_LE-reference	WBGene00017448	F14B8.6	F14B8.6	9.9	5.59	0	0	6.09	3.02
LE-intestine_up_vs_LE-reference	WBGene00020532	T16A1.1	math-42	7.61	5.58	0	0	6.05	2.19
LE-intestine_up_vs_LE-reference	WBGene00007130	B0272.4	B0272.4	9.7	5.58	0	0	6.04	4.32
LE-intestine_up_vs_LE-reference	WBGene00001333	C01G8.5	erm-1	11.21	5.58	0	0	6.04	2.1
LE-intestine_up_vs_LE-reference	WBGene00013426	Y66A7A.7	Y66A7A.7	9.86	5.57	0	0	5.99	5.13
LE-intestine_up_vs_LE-reference	WBGene00016134	C26B9.5	C26B9.5	9.5	5.55	0	0	5.91	3.11
LE-intestine_up_vs_LE-reference	WBGene00015859	C16D9.4	C16D9.4	7.92	5.54	0	0	5.9	2.29
LE-intestine_up_vs_LE-reference	WBGene00020128	R193.2	R193.2	9.77	5.54	0	0	5.88	2.77
LE-intestine_up_vs_LE-reference	WBGene00017781	F25E2.3	F25E2.3	8.79	5.53	0	0	5.86	3.37
LE-intestine_up_vs_LE-reference	WBGene00020401	T10B11.5	T10B11.5	8.19	5.53	0	0	5.84	4.28
LE-intestine_up_vs_LE-reference	WBGene00004259	D2085.1	pyr-1	9.4	5.53	0	0	5.83	2.58
LE-intestine_up_vs_LE-reference	WBGene00007368	C06B8.2	C06B8.2	8.78	5.52	0	0	5.82	5.33
LE-intestine_up_vs_LE-reference	WBGene00017012	D1009.1	D1009.1	9.79	5.51	0	0	5.77	4.48
LE-intestine_up_vs_LE-reference	WBGene00000786	C25B8.3	cpr-6	10.9	5.51	0	0	5.76	4.75
LE-intestine_up_vs_LE-reference	WBGene00015376	C03B1.5	C03B1.5	7.61	5.5	0	0	5.75	2.08
LE-intestine_up_vs_LE-reference	WBGene00015602	C08E3.10	fbxa-158	8.04	5.5	0	0	5.74	4.34
LE-intestine_up_vs_LE-reference	WBGene00007867	C32H11.4	C32H11.4	8.93	5.5	0	0	5.74	6.66
LE-intestine_up_vs_LE-reference	WBGene00019477	K07C11.4	K07C11.4	9.47	5.5	0	0	5.72	3.58
LE-intestine_up_vs_LE-reference	WBGene00008229	C50F4.1	C50F4.1	9.77	5.5	0	0	5.72	3.44
LE-intestine_up_vs_LE-reference	WBGene00015227	B0507.10	B0507.10	8.79	5.49	0	0	5.68	5.7
LE-intestine_up_vs_LE-reference	WBGene00016883	C52E2.4	C52E2.4	7.44	5.47	0	0	5.62	2.55
LE-intestine_up_vs_LE-reference	WBGene00011897	T21C9.12	scpl-4	11.22	5.47	0	0	5.62	2.4
LE-intestine_up_vs_LE-reference	WBGene00016046	C24B5.4	C24B5.4	8.69	5.46	0	0	5.59	3.02
LE-intestine_up_vs_LE-reference	WBGene00044166	C54C6.7	C54C6.7	9.22	5.45	0	0	5.55	4.58
LE-intestine_up_vs_LE-reference	WBGene00010128	F55G11.8	F55G11.8	8.3	5.44	0	0	5.51	3.22
LE-intestine_up_vs_LE-reference	WBGene00017771	F25B4.8	F25B4.8	10.92	5.43	0	0	5.47	5.28
LE-intestine_up_vs_LE-reference	WBGene00022178	Y71H2AM.13	Y71H2AM.13	10.12	5.42	0	0	5.42	3.46
LE-intestine_up_vs_LE-reference	WBGene00014141	ZK899.2	ZK899.2	9.48	5.42	0	0	5.42	3.4
LE-intestine_up_vs_LE-reference	WBGene00016431	C35A11.4	C35A11.4	8.21	5.4	0	0	5.36	2.36
LE-intestine_up_vs_LE-reference	WBGene00021167	Y5H2B.5	cyp-32B1	8.28	5.4	0	0	5.35	2.59
LE-intestine_up_vs_LE-reference	WBGene00010266	F58G1.4	dct-18	12.75	5.4	0	0	5.35	3.18
LE-intestine_up_vs_LE-reference	WBGene00002247	W03F8.5	lam-1	9.49	5.4	0	0	5.34	2.52
LE-intestine_up_vs_LE-reference	WBGene00011122	R07H5.2	cpt-2	10.04	5.39	0	0	5.31	2.55
LE-intestine_up_vs_LE-reference	WBGene00006636	T14B4.4	tsp-10	9.65	5.38	0	0	5.3	6.01
LE-intestine_up_vs_LE-reference	WBGene00003773	ZK892.2	nlt-1	11	5.38	0	0	5.29	4.99
LE-intestine_up_vs_LE-reference	WBGene00018035	F35C8.2	F35C8.2	8.1	5.38	0	0	5.28	3.73
LE-intestine_up_vs_LE-reference	WBGene00022497	Y119D3B.21	Y119D3B.21	12.63	5.38	0	0	5.27	3.23
LE-intestine_up_vs_LE-reference	WBGene00012013	T25B9.7	ugt-54	7.89	5.37	0	0	5.23	2.66
LE-intestine_up_vs_LE-reference	WBGene00007743	C26C6.9	C26C6.9	8.74	5.35	0	0	5.15	2.99
LE-intestine_up_vs_LE-reference	WBGene00020358	T08E11.2	math-39	8.46	5.34	0	0	5.12	3.27
LE-intestine_up_vs_LE-reference	WBGene00011464	T05B9.1	T05B9.1	9.48	5.34	0	0	5.12	3.39
LE-intestine_up_vs_LE-reference	WBGene00015889	C17C3.3	C17C3.3	7.45	5.31	0	0	5.02	2.21
LE-intestine_up_vs_LE-reference	WBGene00019345	K02G10.3	K02G10.3	8.54	5.31	0	0	5.01	2.77
LE-intestine_up_vs_LE-reference	WBGene00001770	F21H7.1	gst-22	9.17	5.31	0	0	5.01	4.61
LE-intestine_up_vs_LE-reference	WBGene00003214	C05D11.11	mel-32	10.31	5.3	0	0	4.99	2.72
LE-intestine_up_vs_LE-reference	WBGene00015598	C08E3.6	fbxa-163	7.73	5.3	0	0	4.98	2.91
LE-intestine_up_vs_LE-reference	WBGene00021879	Y54G2A.14	clec-83	10	5.28	0	0	4.92	4.39
LE-intestine_up_vs_LE-reference	WBGene00007655	C17H1.2	C17H1.2	7.88	5.28	0	0	4.9	3.57
LE-intestine_up_vs_LE-reference	WBGene00008730	F13B12.2	F13B12.2	8.01	5.28	0	0	4.89	2.56
LE-intestine_up_vs_LE-reference	WBGene00018146	F37C4.6	F37C4.6	8.62	5.27	0	0	4.89	2.62
LE-intestine_up_vs_LE-reference	WBGene00008564	F08A8.1	F08A8.1	9.13	5.27	0	0	4.88	2.8
LE-intestine_up_vs_LE-reference	WBGene00010988	R03D7.1	R03D7.1	9.48	5.27	0	0	4.87	2.57
LE-intestine_up_vs_LE-reference	WBGene00017102	E02H9.4	E02H9.4	9.36	5.26	0	0	4.85	7.7
LE-intestine_up_vs_LE-reference	WBGene00009860	F49A5.9	clec-32	7.47	5.26	0	0	4.82	2.32
LE-intestine_up_vs_LE-reference	WBGene00014253	ZK1320.3	ZK1320.3	9.82	5.26	0	0	4.82	3.22
LE-intestine_up_vs_LE-reference	WBGene00016874	C52B11.5	C52B11.5	8.95	5.25	0	0	4.81	2.77
LE-intestine_up_vs_LE-reference	WBGene00017765	F25B4.1	F25B4.1	9.62	5.25	0	0	4.81	2.27
LE-intestine_up_vs_LE-reference	WBGene00020472	T13B5.5	lips-11	7.41	5.25	0	0	4.8	3.25
LE-intestine_up_vs_LE-reference	WBGene00020460	T12C9.1	nhr-273	7.57	5.24	0	0	4.77	2.21
LE-intestine_up_vs_LE-reference	WBGene00010977	R02D5.3	R02D5.3	8.82	5.23	0	0	4.74	2.6
LE-intestine_up_vs_LE-reference	WBGene00015107	B0280.13	B0280.13	9.16	5.23	0	0	4.74	3.11
LE-intestine_up_vs_LE-reference	WBGene00018353	F42G2.4	fbxa-182	7.85	5.22	0	0	4.7	2.86
LE-intestine_up_vs_LE-reference	WBGene00008781	F14B4.3	F14B4.3	8.76	5.22	0	0	4.67	2.11
LE-intestine_up_vs_LE-reference	WBGene00017089	E01A2.7	E01A2.7	8.33	5.21	0	0	4.66	2.82
LE-intestine_up_vs_LE-reference	WBGene00008787	F14B6.6	F14B6.6	8.2	5.21	0	0	4.65	4.21
LE-intestine_up_vs_LE-reference	WBGene00016146	C26F1.1	C26F1.1	10.68	5.21	0	0	4.64	5.96
LE-intestine_up_vs_LE-reference	WBGene00000109	F36H1.6	alh-3	10.28	5.21	0	0	4.64	2.96
LE-intestine_up_vs_LE-reference	WBGene00011427	T04C12.1	T04C12.1	9.77	5.2	0	0	4.63	4.5
LE-intestine_up_vs_LE-reference	WBGene00018174	F38B6.4	F38B6.4	8.46	5.2	0	0	4.62	2.54
LE-intestine_up_vs_LE-reference	WBGene00007656	C17H1.3	C17H1.3	7.9	5.2	0	0	4.61	2.8
LE-intestine_up_vs_LE-reference	WBGene00020347	T08B2.7	T08B2.7	10.6	5.19	0	0	4.57	2.05
LE-intestine_up_vs_LE-reference	WBGene00008167	C48B4.1	C48B4.1	9.21	5.18	0	0	4.56	3.12
LE-intestine_up_vs_LE-reference	WBGene00016556	C40D2.3	math-21	7.2	5.18	0	0	4.56	2.21
LE-intestine_up_vs_LE-reference	WBGene00016594	C42D4.1	C42D4.1	10.9	5.18	0	0	4.53	3.83
LE-intestine_up_vs_LE-reference	WBGene00015469	C05D2.8	C05D2.8	9.22	5.18	0	0	4.53	2.95
LE-intestine_up_vs_LE-reference	WBGene00003723	F44C8.8	nhr-133	8.91	5.18	0	0	4.53	3.13
LE-intestine_up_vs_LE-reference	WBGene00010901	M28.10	M28.10	9.73	5.18	0	0	4.53	2.33
LE-intestine_up_vs_LE-reference	WBGene00010277	F58G6.7	F58G6.7	8.27	5.17	0	0	4.5	3.17
LE-intestine_up_vs_LE-reference	WBGene00000831	Y54G11A.5	ctl-2	9.46	5.17	0	0	4.5	3.65
LE-intestine_up_vs_LE-reference	WBGene00044785	F47E1.5	F47E1.5	8.63	5.16	0	0	4.46	2.97
LE-intestine_up_vs_LE-reference	WBGene00009857	F49A5.5	clec-28	7.87	5.14	0	0	4.4	2.26
LE-intestine_up_vs_LE-reference	WBGene00045052	K12C11.6	K12C11.6	8.26	5.14	0	0	4.4	3.54
LE-intestine_up_vs_LE-reference	WBGene00012583	Y38E10A.5	clec-4	8.67	5.13	0	0	4.36	3.01
LE-intestine_up_vs_LE-reference	WBGene00000550	F55H2.6	clu-1	10.87	5.13	0	0	4.35	2.52
LE-intestine_up_vs_LE-reference	WBGene00007284	C03H12.1	C03H12.1	9.5	5.13	0	0	4.35	2.22
LE-intestine_up_vs_LE-reference	WBGene00017184	F02G3.1	ncam-1	10.39	5.12	0	0	4.33	2.68
LE-intestine_up_vs_LE-reference	WBGene00003828	C07B5.5	nuc-1	10.04	5.11	0	0	4.27	4.2
LE-intestine_up_vs_LE-reference	WBGene00018885	F55E10.6	F55E10.6	7.98	5.1	0	0	4.26	2.55
LE-intestine_up_vs_LE-reference	WBGene00016655	C44E4.6	acbp-1	11.73	5.1	0	0	4.24	2.15
LE-intestine_up_vs_LE-reference	WBGene00002855	C05D11.12	let-721	10.62	5.1	0	0	4.23	2.35
LE-intestine_up_vs_LE-reference	WBGene00001398	VZK822L.1	fat-6	10.2	5.09	0	0	4.22	3.38
LE-intestine_up_vs_LE-reference	WBGene00013073	Y51A2D.4	hmit-1.1	8.39	5.09	0	0	4.2	2.42
LE-intestine_up_vs_LE-reference	WBGene00007779	C27D8.3	C27D8.3	8.76	5.09	0	0	4.2	2.04
LE-intestine_up_vs_LE-reference	WBGene00001150	C29F3.1	ech-1	8.04	5.07	0	0	4.13	2.23
LE-intestine_up_vs_LE-reference	WBGene00016307	C32B5.14	C32B5.14	7.4	5.06	0	0	4.11	2.59
LE-intestine_up_vs_LE-reference	WBGene00003577	F56F3.2	ndg-4	8.13	5.05	0	0	4.08	2.17
LE-intestine_up_vs_LE-reference	WBGene00015783	C15B12.1	C15B12.1	8.27	5.05	0	0	4.07	2.99
LE-intestine_up_vs_LE-reference	WBGene00006946	C34E10.4	wrs-2	8.89	5.05	0	0	4.07	2.2
LE-intestine_up_vs_LE-reference	WBGene00008519	F02C12.5	cyp-13B1	7.89	5.04	0	0	4.04	3.65
LE-intestine_up_vs_LE-reference	WBGene00012530	Y32F6A.5	Y32F6A.5	10.02	5.04	0	0	4.03	4.05
LE-intestine_up_vs_LE-reference	WBGene00010858	M04C9.3	M04C9.3	8.67	5.04	0	0	4.02	3.3
LE-intestine_up_vs_LE-reference	WBGene00019859	R03H10.7	R03H10.7	7.92	5.04	0	0	4.02	2.78
LE-intestine_up_vs_LE-reference	WBGene00011012	R04D3.4	R04D3.4	8.22	5.04	0	0	4.01	2.56
LE-intestine_up_vs_LE-reference	WBGene00007945	C34F6.11	C34F6.11	8.17	5.04	0	0	4.01	2.62
LE-intestine_up_vs_LE-reference	WBGene00021895	Y54G2A.33	clec-84	10.59	5.02	0	0	3.97	3.78
LE-intestine_up_vs_LE-reference	WBGene00017777	F25B5.6	F25B5.6	10.04	5.02	0	0	3.94	2.85
LE-intestine_up_vs_LE-reference	WBGene00020446	T12B3.3	T12B3.3	12.27	5.01	0	0	3.93	3.06
LE-intestine_up_vs_LE-reference	WBGene00009347	F32H5.1	F32H5.1	9.2	5.01	0	0	3.93	2.75
LE-intestine_up_vs_LE-reference	WBGene00006438	C01F6.6	tag-60	11.2	5	0	0	3.87	3.18
LE-intestine_up_vs_LE-reference	WBGene00013129	Y52B11A.10	Y52B11A.10	9.69	4.99	0	0	3.86	2.02
LE-intestine_up_vs_LE-reference	WBGene00015767	C14C11.3	hex-2	10.19	4.99	0	0	3.83	2.98
LE-intestine_up_vs_LE-reference	WBGene00044291	C25F9.10	C25F9.10	7.31	4.98	0	0	3.8	3.3
LE-intestine_up_vs_LE-reference	WBGene00022642	ZK6.7	ZK6.7	9.83	4.97	0	0	3.79	2.89
LE-intestine_up_vs_LE-reference	WBGene00007942	C34F6.8	C34F6.8	10.5	4.97	0	0	3.77	3.32
LE-intestine_up_vs_LE-reference	WBGene00020378	T09B4.4	T09B4.4	8.44	4.95	0	0	3.71	2.74
LE-intestine_up_vs_LE-reference	WBGene00000967	T02E1.5	dhs-3	10.42	4.95	0	0	3.7	5.09
LE-intestine_up_vs_LE-reference	WBGene00020073	R52.1	sdz-28	7.48	4.95	0	0	3.7	2.5
LE-intestine_up_vs_LE-reference	WBGene00009008	F21D5.3	F21D5.3	8.52	4.94	0	0	3.67	2.39
LE-intestine_up_vs_LE-reference	WBGene00008350	CE7X_3.2	CE7X_3.2	8.52	4.94	0	0	3.67	3.15
LE-intestine_up_vs_LE-reference	WBGene00018952	F56C9.8	F56C9.8	9.29	4.94	0	0	3.66	2.62
LE-intestine_up_vs_LE-reference	WBGene00022164	Y71H2AL.1	Y71H2AL.1	10.89	4.93	0	0	3.64	3.21
LE-intestine_up_vs_LE-reference	WBGene00017254	F08D12.11	fbxb-111	7.69	4.93	0	0	3.63	2.03
LE-intestine_up_vs_LE-reference	WBGene00044797	F13E9.13	F13E9.13	8.88	4.93	0	0	3.62	3.75
LE-intestine_up_vs_LE-reference	WBGene00013149	Y53F4B.1	Y53F4B.1	8.08	4.93	0	0	3.62	2.73
LE-intestine_up_vs_LE-reference	WBGene00021500	Y40C7B.4	Y40C7B.4	8.11	4.92	0	0	3.61	3.61
LE-intestine_up_vs_LE-reference	WBGene00011893	T21C9.6	T21C9.6	7.83	4.92	0	0	3.61	2.01
LE-intestine_up_vs_LE-reference	WBGene00044321	B0511.8	tag-264	9.63	4.92	0	0	3.58	2.31
LE-intestine_up_vs_LE-reference	WBGene00017881	F28A12.4	F28A12.4	8.65	4.92	0	0	3.58	2.52
LE-intestine_up_vs_LE-reference	WBGene00001395	W08D2.4	fat-3	9.76	4.91	0	0	3.57	2.7
LE-intestine_up_vs_LE-reference	WBGene00003643	K06B4.11	nhr-53	8.4	4.9	0	0	3.51	4.12
LE-intestine_up_vs_LE-reference	WBGene00008719	F11F1.7	ttr-52	7.45	4.89	0	0	3.49	2.34
LE-intestine_up_vs_LE-reference	WBGene00018207	F39G3.2	F39G3.2	7.83	4.89	0	0	3.48	2.09
LE-intestine_up_vs_LE-reference	WBGene00011480	T05E11.3	T05E11.3	12.29	4.89	0	0	3.47	2.09
LE-intestine_up_vs_LE-reference	WBGene00022337	Y82E9BR.4	Y82E9BR.4	7.88	4.88	0	0	3.44	2.87
